Doba;Godzina;Prognozowane zapotrzebowanie sieci;Wymagana rezerwa mocy OSP;Nadwy¿ka mocy dostêpna dla OSP (7) + (9) - [(3) - (12)] - (13);Nadwy¿ka mocy dostêpna dla OSP ponad wymagan¹ rezerwê moc (5) - (4);Moc dyspozycyjna JW i magazynów energii œwiadcz¹cych us³ugi bilansuj¹ce w ramach RB;Moc dyspozycyjna JW i magazynów energii œwiadcz¹cych us³ugi bilansuj¹ce w ramach RB dostêpna dla OSP;Przewidywana generacja JW i magazynów energii œwiadcz¹cych us³ugi bilansuj¹ce w ramach RB (3) - (9);Prognozowana generacja JW i magazynów energii nie œwiadcz¹cych us³ug bilansuj¹cych w ramach RB;Prognozowana sumaryczna generacja Ÿróde³ wiatrowych;Prognozowana sumaryczna generacja Ÿróde³ fotowoltaicznych;Planowane saldo wymiany miêdzysystemowej;Prognozowana wielkoœæ niedyspozycyjnoœci wynikaj¹ca z ograniczeñ sieciowych wystêpuj¹cych w sieci przesy³owej oraz sieci dystrybucyjnej w zakresie dostarczania energii elektrycznej;Prognozowana wielkoœæ niedyspozycyjnoœci wynikaj¹cych z warunków eksploatacyjnych JW œwiadcz¹cych us³ugi bilansuj¹ce w ramach RB;Przewidywana generacja zasobów wytwórczych nieobjêtych obowi¹zkami mocowymi;Obowi¹zki mocowe wszystkich jednostek rynku mocy
2022-11-21;24;18031;1741;5167;;18955;18 745;13578;3982;346;0;471;0;;14838;0
2022-11-22;01;16573;1652;3428;;16082;15 872;12444;3883;322;0;247;0;;13271;0
2022-11-22;02;16852;1686;3533;;16345;16 135;12603;3938;395;0;312;0;;13200;0
2022-11-22;03;16802;1689;3585;;16345;16 135;12550;3996;452;0;256;0;;13165;0
2022-11-22;04;16837;1680;3894;;16345;16 135;12241;4180;635;0;416;0;;13136;0
2022-11-22;05;17371;1732;3346;;16234;16 024;12679;4230;683;0;463;0;;13653;0
2022-11-22;06;18063;1831;2650;;16415;16 205;13555;4317;764;0;192;0;;14931;0
2022-11-22;07;19905;2029;2885;;18388;18 178;15293;4513;834;0;98;0;;17546;0
2022-11-22;08;21707;2205;2395;;19689;19 479;17084;4729;957;106;-106;0;;2473;23839
2022-11-22;09;22271;2272;2480;;20037;19 827;17347;5027;997;606;-103;0;;2723;23839
2022-11-22;10;22302;2291;2356;;19750;19 540;17184;5228;1002;1078;-110;0;;2925;23839
2022-11-22;11;21988;2279;2573;;19551;19 341;16768;5333;1076;1339;-113;0;;3093;23839
2022-11-22;12;22015;2282;2540;;19343;18 927;16387;5742;1409;1541;-114;0;;3522;23839
2022-11-22;13;22074;2290;2686;;19394;18 978;16292;5891;1533;1392;-109;0;;3620;23839
2022-11-22;14;22344;2282;2624;;19505;19 295;16671;5783;1610;948;-110;0;;3469;23839
2022-11-22;15;22302;2256;2609;;19507;19 297;16688;5720;1737;430;-106;0;;3345;23839
2022-11-22;16;22666;2272;2457;;19590;19 380;16923;5856;2027;51;-113;0;;3473;23839
2022-11-22;17;23310;2332;2405;;19998;19 788;17382;6044;2220;0;-116;0;;3661;23839
2022-11-22;18;23268;2313;2859;;20248;20 038;17180;6199;2365;0;-111;0;;3797;23839
2022-11-22;19;22821;2256;3355;;20576;20 017;16662;6267;2413;0;-109;0;;3855;23839
2022-11-22;20;22228;2215;3958;;20667;20 108;16150;6187;2340;0;-109;0;;3780;23839
2022-11-22;21;21772;2173;4157;;20679;20 120;15963;5914;2083;0;-105;0;;3519;23839
2022-11-22;22;20526;2041;4781;;20342;19 783;15002;5622;1830;0;-99;0;;3249;23839
2022-11-22;23;19055;1937;4535;;19134;18 575;14040;5336;1700;0;-322;0;;16638;0
2022-11-22;24;17915;1778;5295;;18487;17 928;12633;5211;1646;0;70;0;;15045;0
2022-11-23;01;16805;1661;4236;;15792;15 456;11220;5203;1644;0;382;0;;13701;0
2022-11-23;02;16383;1674;4197;;15827;15 617;11420;5056;1548;0;-93;0;;13619;0
2022-11-23;03;16455;1685;4024;;15880;15 670;11646;4902;1395;0;-93;0;;13575;0
2022-11-23;04;16485;1690;3944;;15934;15 724;11779;4797;1289;0;-91;0;;13553;0
2022-11-23;05;16858;1700;3839;;16143;15 767;11928;4656;1141;0;273;0;;13553;0
2022-11-23;06;17791;1749;3307;;16194;15 767;12461;4540;1025;0;791;0;;14234;0
2022-11-23;07;19739;2032;2318;;17882;17 455;15137;4707;1081;0;-106;0;;17628;0
2022-11-23;08;21638;2196;1783;;19114;18 687;16903;4839;1034;37;-105;0;;2544;23839
2022-11-23;09;22400;2273;1698;;19732;19 305;17607;4896;951;312;-103;0;;2585;23839
2022-11-23;10;22750;2304;1335;;19651;19 441;18106;4753;749;444;-109;0;;2442;23839
2022-11-23;11;22458;2294;1583;;19560;19 350;17767;4803;717;718;-112;0;;2545;23839
2022-11-23;12;22588;2313;1647;;19778;19 568;17921;4780;639;841;-112;0;;2525;23839
2022-11-23;13;22845;2323;1845;;20152;19 942;18097;4640;522;764;108;0;;2369;23839
2022-11-23;14;22929;2303;1787;;20308;20 098;18311;4503;458;598;116;0;;2210;23839
2022-11-23;15;22762;2284;1898;;20307;20 097;18199;4380;457;343;182;0;;2078;23839
2022-11-23;16;23043;2304;1624;;20691;20 481;18857;4116;538;38;69;0;;1937;23839
2022-11-23;17;23530;2362;1606;;21079;20 869;19262;4383;653;0;-115;0;;2070;23839
2022-11-23;18;23319;2331;1873;;21130;20 920;19048;4381;729;0;-110;0;;2134;23839
2022-11-23;19;22824;2287;2131;;20967;20 757;18626;4306;701;0;-108;0;;2082;23839
2022-11-23;20;22637;2271;2309;;21157;20 752;18443;4301;712;0;-107;0;;2050;23839
2022-11-23;21;22013;2205;2843;;21201;20 774;17931;4184;577;0;-102;0;;1924;23839
2022-11-23;22;20730;2076;3736;;20962;20 535;16798;4028;492;0;-97;0;;1789;23839
2022-11-23;23;19234;1941;3653;;19614;19 057;15404;3894;421;0;-64;0;;16572;0
2022-11-23;24;18429;1808;4503;;19214;18 581;14077;3844;374;0;508;0;;14903;0
2022-11-24;01;17720;1767;2602;;16462;16 256;13653;3786;373;0;281;0;;14131;0
2022-11-24;02;17387;1739;3005;;16462;16 462;13456;3614;213;0;317;0;;13765;0
2022-11-24;03;16982;1684;3525;;16476;16 476;12951;3558;159;0;473;0;;13223;0
2022-11-24;04;16827;1673;3777;;16557;16 557;12780;3539;140;0;508;0;;13092;0
2022-11-24;05;17126;1748;3180;;16663;16 663;13483;3546;145;0;97;0;;13939;0
2022-11-24;06;18013;1849;2619;;17032;17 032;14412;3538;123;0;62;0;;15212;0
2022-11-24;07;20052;2066;2203;;18825;18 825;16623;3534;77;0;-104;0;;17992;0
2022-11-24;08;21705;2208;1752;;19933;19 933;18182;3628;69;3;-105;0;;1604;23839
2022-11-24;09;22729;2306;1678;;20838;20 838;19160;3674;64;124;-105;0;;1709;23839
2022-11-24;10;22995;2310;1714;;20830;20 830;19115;3788;82;291;92;0;;1774;23839
2022-11-24;11;22897;2302;1741;;20475;20 475;18735;3873;108;428;290;0;;1850;23839
2022-11-24;12;23180;2330;1687;;20715;20 715;19028;3864;88;515;289;0;;1891;23839
2022-11-24;13;23298;2321;1817;;20778;20 778;18961;3870;78;460;467;0;;1877;23839
2022-11-24;14;23366;2303;1877;;20823;20 823;18946;3830;67;353;589;0;;1826;23839
2022-11-24;15;23189;2321;1996;;21283;21 283;19287;3763;66;201;139;0;;1757;23839
2022-11-24;16;23276;2341;1792;;21397;21 397;19606;3782;63;27;-112;0;;1701;23839
2022-11-24;17;23636;2359;1829;;21575;21 575;19746;3803;64;0;87;0;;1698;23839
2022-11-24;18;23645;2350;1938;;21692;21 692;19754;3799;66;0;92;0;;1676;23839
2022-11-24;19;23049;2315;2283;;21738;21 738;19455;3699;62;0;-105;0;;1646;23839
2022-11-24;20;22889;2302;2425;;21781;21 781;19356;3653;61;0;-120;0;;1601;23839
2022-11-24;21;22367;2244;2978;;21945;21 782;18805;3662;60;0;-100;0;;1594;23839
2022-11-24;22;20917;2095;3817;;21681;21 265;17448;3563;59;0;-95;0;;1330;23839
2022-11-24;23;19449;1966;4122;;20555;20 139;16018;3527;63;0;-96;0;;16885;0
2022-11-24;24;18109;1826;5410;;20393;19 977;14566;3534;65;0;9;0;;15443;0
2022-11-25;01;17055;1754;2978;;17182;16 766;13788;3537;84;0;-269;0;;14589;0
2022-11-25;02;17017;1734;3284;;16976;16 766;13482;3574;89;0;-39;0;;13827;0
2022-11-25;03;17287;1760;3167;;17093;16 883;13715;3599;84;0;-27;0;;13452;0
2022-11-25;04;17403;1729;3590;;17093;16 883;13292;3616;86;0;495;0;;13169;0
2022-11-25;05;17725;1824;2843;;17111;17 111;14268;3617;74;0;-161;0;;14105;0
2022-11-25;06;18038;1860;2687;;17212;17 212;14525;3606;73;0;-93;0;;15153;0
2022-11-25;07;19919;2055;2807;;19177;19 177;16369;3652;70;0;-102;0;;17887;0
2022-11-25;08;21732;2208;2306;;20345;20 345;18039;3797;85;5;-104;0;;1803;23839
2022-11-25;09;22676;2305;2221;;21158;21 158;18937;3846;93;228;-107;0;;1978;23839
2022-11-25;10;22956;2333;2064;;21154;21 154;19090;3974;88;493;-107;0;;2056;23839
2022-11-25;11;22868;2339;2138;;21088;21 088;18950;4027;75;639;-109;0;;2113;23839
2022-11-25;12;23153;2369;2073;;21330;21 330;19256;4004;55;682;-107;0;;2157;23839
2022-11-25;13;23285;2341;2046;;21209;21 209;19163;4033;51;599;89;0;;2147;23839
2022-11-25;14;22921;2290;2371;;21086;21 086;18715;3954;54;423;252;0;;2014;23839
2022-11-25;15;22848;2293;2476;;21353;21 353;18876;3875;61;220;97;0;;1959;23839
2022-11-25;16;22976;2320;2648;;21879;21 879;19231;3856;83;25;-110;0;;1919;23839
2022-11-25;17;23365;2346;2531;;21978;21 978;19447;4031;126;0;-113;0;;1976;23839
2022-11-25;18;23140;2323;2773;;21921;21 921;19148;4080;152;0;-89;0;;1953;23839
2022-11-25;19;22754;2283;3009;;21875;21 875;18866;3995;189;0;-106;0;;1967;23839
2022-11-25;20;22554;2259;3282;;21882;21 882;18600;4043;241;0;-89;0;;2004;23839
2022-11-25;21;21882;2191;3502;;21646;21 478;17976;4004;258;0;-99;0;;1843;23839
2022-11-25;22;20453;2047;3937;;20980;20 541;16605;3942;270;0;-94;0;;1780;23839
2022-11-25;23;19042;1922;3627;;19356;18 881;15255;3883;259;0;-96;0;;16259;0
2022-11-25;24;17739;1844;3063;;18821;17 572;14509;3876;235;0;-646;0;;15660;0
2022-11-26;01;16189;1656;1877;;15535;14 325;12449;3824;245;0;-83;0;;13790;0
2022-11-26;02;15602;1655;1903;;15229;14 225;12322;3793;210;0;-513;0;;13710;0
2022-11-26;03;15641;1637;1896;;15035;14 031;12135;3789;198;0;-283;0;;13464;0
2022-11-26;04;15637;1637;1909;;15027;14 023;12114;3797;204;0;-275;0;;13448;0
2022-11-26;05;15633;1644;1948;;15140;14 136;12189;3800;209;0;-356;0;;13511;0
2022-11-26;06;15780;1639;2177;;15051;14 257;12080;3787;194;0;-87;0;;13432;0
2022-11-26;07;16640;1731;2320;;15204;15 204;12884;3844;218;0;-88;0;;14406;0
2022-11-26;08;17247;1788;2217;;15571;15 571;13354;3985;236;29;-93;0;;14979;0
2022-11-26;09;18188;1888;1971;;16063;16 063;14092;4193;353;234;-98;0;;16030;0
2022-11-26;10;19080;1979;1916;;16775;16 775;14859;4315;356;472;-94;0;;16820;0
2022-11-26;11;19509;1955;1844;;16372;16 372;14528;4364;339;621;617;0;;16461;0
2022-11-26;12;19908;1973;1804;;16530;16 530;14727;4343;324;625;838;0;;16684;0
2022-11-26;13;19917;1967;1703;;16522;16 522;14819;4265;298;528;834;0;;16708;0
2022-11-26;14;19788;1928;1635;;16257;16 257;14622;4165;206;346;1000;0;;16374;0
2022-11-26;15;19429;1913;1667;;16255;16 255;14588;4113;237;121;729;0;;16202;0
2022-11-26;16;19508;1950;1689;;16698;16 698;15009;4094;254;2;405;0;;16680;0
2022-11-26;17;19977;2002;1713;;17217;17 217;15503;4239;308;0;235;0;;17226;0
2022-11-26;18;19950;2019;1617;;17382;17 382;15765;4285;317;0;-100;0;;17371;0
2022-11-26;19;19590;1971;1873;;17207;17 207;15335;4180;286;0;75;0;;16867;0
