Doba;Godzina;Prognozowane zapotrzebowanie sieci;Wymagana rezerwa mocy OSP;Nadwy¿ka mocy dostêpna dla OSP (7) + (9) - [(3) - (12)] - (13);Nadwy¿ka mocy dostêpna dla OSP ponad wymagan¹ rezerwê moc (5) - (4);Moc dyspozycyjna JW i magazynów energii œwiadcz¹cych us³ugi bilansuj¹ce w ramach RB;Moc dyspozycyjna JW i magazynów energii œwiadcz¹cych us³ugi bilansuj¹ce w ramach RB dostêpna dla OSP;Przewidywana generacja JW i magazynów energii œwiadcz¹cych us³ugi bilansuj¹ce w ramach RB (3) - (9);Prognozowana generacja JW i magazynów energii nie œwiadcz¹cych us³ug bilansuj¹cych w ramach RB;Prognozowana sumaryczna generacja Ÿróde³ wiatrowych;Prognozowana sumaryczna generacja Ÿróde³ fotowoltaicznych;Planowane saldo wymiany miêdzysystemowej;Prognozowana wielkoœæ niedyspozycyjnoœci wynikaj¹ca z ograniczeñ sieciowych wystêpuj¹cych w sieci przesy³owej oraz sieci dystrybucyjnej w zakresie dostarczania energii elektrycznej;Prognozowana wielkoœæ niedyspozycyjnoœci wynikaj¹cych z warunków eksploatacyjnych JW œwiadcz¹cych us³ugi bilansuj¹ce w ramach RB;Przewidywana generacja zasobów wytwórczych nieobjêtych obowi¹zkami mocowymi;Obowi¹zki mocowe wszystkich jednostek rynku mocy
2022-12-23;01;15860;1712;3717;;15843;14 099;10382;6795;3321;0;-1317;0;;14412;0
2022-12-23;02;15316;1673;3862;;15723;13 979;10116;6568;3092;0;-1368;0;;13667;0
2022-12-23;03;15108;1656;3799;;15514;13 979;10179;6251;2780;0;-1322;0;;13199;0
2022-12-23;04;15220;1619;4406;;15514;14 406;10000;6000;2544;0;-780;0;;12752;0
2022-12-23;05;15255;1615;4561;;15583;14 475;9914;5988;2519;0;-647;0;;12790;0
2022-12-23;06;15578;1615;4666;;15718;14 610;9944;5829;2361;0;-195;0;;12972;0
2022-12-23;07;17290;1769;4814;;17222;16 114;11300;5886;2322;0;105;0;;14929;0
2022-12-23;08;18859;1896;3526;;17284;16 176;12650;6105;2508;1;104;0;;4262;23839
2022-12-23;09;19669;2000;2821;;17512;16 404;13512;6235;2586;78;-77;71;;4355;23839
2022-12-23;10;20607;2094;1992;;17845;16 737;14674;6034;2318;205;-101;71;;4365;23839
2022-12-23;11;20991;2126;2462;;18564;17 456;14923;6041;2281;331;28;71;;4321;23839
2022-12-23;12;21081;2138;2534;;18633;17 525;14919;6003;2128;615;158;71;;4226;23839
2022-12-23;13;21101;2154;2306;;18516;17 408;15031;6115;2241;597;-45;71;;4399;23839
2022-12-23;14;21043;2112;2492;;18523;17 415;14869;5967;2190;455;207;53;;4170;23839
2022-12-23;15;20858;2091;2317;;18528;17 420;15102;5665;2010;173;90;0;;3937;23839
2022-12-23;16;21315;2094;2443;;18592;17 483;15040;5679;2069;0;596;0;;3979;23839
2022-12-23;17;21861;2133;2553;;19415;18 306;15753;5512;1861;0;596;0;;3829;23839
2022-12-23;18;21754;2155;2791;;20084;18 976;16185;5349;1629;0;221;0;;3599;23839
2022-12-23;19;21442;2094;2627;;19987;18 519;15892;4946;1216;0;605;0;;3206;23839
2022-12-23;20;21027;2044;3035;;20402;18 723;15689;4636;1023;0;702;0;;2994;23839
2022-12-23;21;20150;1864;4237;;20373;18 077;13840;4663;1067;0;1646;0;;2854;23839
2022-12-23;22;18711;1680;4065;;20458;16 107;12042;4523;904;0;2146;0;;2563;23839
2022-12-23;23;17189;1565;4196;;20148;15 148;10952;4376;819;0;1861;0;;12763;0
2022-12-23;24;15625;1413;5304;;19702;14 702;9398;4379;820;0;1848;0;;11338;0
2022-12-24;01;14045;1366;2659;;15733;11 758;9098;4133;636;0;814;0;;10535;0
2022-12-24;02;13062;1325;3247;;15733;11 757;8510;4216;707;0;336;0;;10167;0
2022-12-24;03;12879;1319;3219;;15627;11 651;8432;4255;801;0;192;0;;9913;0
2022-12-24;04;12733;1297;3590;;15622;11 646;8056;4368;923;0;308;0;;9684;0
2022-12-24;05;12784;1301;3862;;15622;11 646;7783;4651;1193;0;350;0;;9831;0
2022-12-24;06;13219;1350;3615;;15716;11 740;8125;4766;1310;0;328;0;;10322;0
2022-12-24;07;13947;1407;3757;;15411;12 281;8525;4901;1394;0;522;0;;10882;0
2022-12-24;08;14329;1459;3328;;15410;12 281;8952;5015;1429;2;362;0;;11788;0
2022-12-24;09;15245;1547;2843;;15506;12 501;9658;5058;1397;211;529;0;;12583;0
2022-12-24;10;16243;1597;2479;;15419;12 414;9936;5117;1275;555;1190;0;;12950;0
2022-12-24;11;16934;1671;1242;;15087;12 082;10839;4988;1085;751;1106;0;;13402;0
2022-12-24;12;17084;1656;1164;;14972;11 968;10803;4863;863;828;1418;0;;13233;0
2022-12-24;13;16981;1654;1272;;15040;12 035;10763;4817;775;935;1401;0;;13141;0
2022-12-24;14;17116;1633;1247;;15285;12 280;11033;4546;725;554;1537;0;;13217;0
2022-12-24;15;16539;1593;1515;;15476;12 471;10956;4334;688;247;1250;0;;12936;0
2022-12-24;16;16863;1674;1649;;16237;13 457;11808;4361;724;10;694;0;;13854;0
2022-12-24;17;17312;1693;1456;;16433;13 654;12198;4384;742;0;730;0;;14065;0
2022-12-24;18;16101;1652;1569;;16332;13 552;11983;4373;733;0;-255;0;;13604;0
2022-12-24;19;15041;1535;2130;;15826;12 874;10744;4313;735;0;-16;0;;12446;0
2022-12-24;20;14572;1485;2339;;15344;12 392;10054;4412;845;0;107;0;;11982;0
2022-12-24;21;14378;1494;2518;;15653;12 701;10183;4382;818;0;-188;0;;12043;0
2022-12-24;22;14190;1457;2874;;15852;12 672;9798;4350;810;0;42;0;;11601;0
2022-12-24;23;13931;1417;2928;;15772;12 288;9360;4343;827;0;228;0;;11255;0
2022-12-24;24;13200;1370;3308;;16213;12 314;9006;4300;835;0;-106;0;;10833;0
2022-12-25;01;12001;1342;2860;;15051;11 530;8671;4268;790;0;-938;0;;10291;0
2022-12-25;02;11590;1248;2912;;14080;10 559;7648;4321;851;0;-379;0;;9508;0
2022-12-25;03;11197;1178;3567;;14116;10 596;7029;4194;777;0;-25;0;;8725;0
2022-12-25;04;11006;1165;3735;;14179;10 658;6923;4143;733;0;-60;0;;8556;0
2022-12-25;05;11014;1170;3700;;14222;10 702;7002;4077;662;0;-65;0;;8573;0
2022-12-25;06;11087;1170;3548;;14283;10 594;7046;4011;604;0;29;0;;8560;0
2022-12-25;07;11384;1214;3412;;14668;10 936;7524;3923;530;0;-64;0;;9104;0
2022-12-25;08;11584;1218;3286;;14668;10 936;7650;3914;507;0;20;0;;9140;0
2022-12-25;09;11852;1270;3156;;14830;11 098;7943;3958;438;249;-49;0;;9673;0
2022-12-25;10;12525;1366;2732;;15023;11 292;8560;4162;389;671;-197;0;;10523;0
2022-12-25;11;12713;1374;2725;;14818;11 087;8362;4328;379;1043;23;0;;10242;0
2022-12-25;12;12904;1416;2725;;14936;11 205;8479;4500;360;1381;-75;0;;10510;0
2022-12-25;13;13056;1421;2753;;15001;11 270;8517;4519;377;1366;20;0;;10546;0
2022-12-25;14;13204;1411;2790;;15168;11 436;8646;4423;383;1101;134;0;;10533;0
2022-12-25;15;13188;1333;3380;;15122;11 391;8011;4405;472;688;772;0;;10062;0
2022-12-25;16;13601;1368;3065;;15217;11 697;8632;4373;687;83;595;0;;10591;0
2022-12-25;17;14303;1425;2965;;15559;12 039;9074;4684;1017;0;545;0;;11253;0
2022-12-25;18;14485;1513;3326;;16453;12 933;9606;5214;1524;0;-335;0;;12121;0
2022-12-25;19;14526;1522;3394;;16601;12 740;9346;5582;1942;0;-402;0;;12201;0
2022-12-25;20;14542;1503;3665;;16189;12 328;8663;6076;2499;0;-197;0;;12240;0
2022-12-25;21;14376;1519;3775;;16152;12 291;8516;6461;2896;0;-601;0;;12193;0
2022-12-25;22;13958;1464;4430;;16192;11 984;7554;6871;3366;0;-468;0;;11850;0
2022-12-25;23;13457;1400;4541;;15822;11 020;6479;7286;3784;0;-308;0;;11326;0
2022-12-25;24;12721;1303;4545;;15729;9 822;5277;7523;4037;0;-79;0;;10703;0
2022-12-26;01;11949;1276;3243;;14108;8 645;5402;7140;3787;0;-594;0;;10134;0
2022-12-26;02;11841;1399;2963;;14946;9 483;6520;7428;4082;0;-2107;0;;10223;0
2022-12-26;03;11798;1345;3037;;14650;9 187;6149;7207;3863;0;-1558;0;;9468;0
2022-12-26;04;11634;1343;3212;;15131;9 668;6456;6839;3503;0;-1661;0;;9386;0
2022-12-26;05;11924;1337;3200;;14176;8 713;5513;7740;4409;0;-1329;0;;9693;0
2022-12-26;06;11842;1287;3376;;14446;8 983;5607;6995;3675;0;-761;0;;9238;0
2022-12-26;07;11900;1305;3282;;14641;9 178;5896;6837;3525;0;-833;0;;9392;0
2022-12-26;08;11322;1281;3445;;14661;9 198;5753;6813;3498;8;-1244;0;;10156;0
2022-12-26;09;11539;1336;3413;;14563;9 100;5687;7198;3725;362;-1346;0;;10455;0
2022-12-26;10;12618;1401;3566;;14959;9 496;5929;7507;3875;608;-818;0;;10893;0
2022-12-26;11;13706;1483;3738;;15001;9 538;5800;8521;4807;924;-614;0;;11299;0
2022-12-26;12;13828;1513;3807;;14766;9 303;5495;9074;5257;1151;-741;0;;11835;0
2022-12-26;13;14252;1551;3880;;14697;9 235;5355;9604;5751;1132;-707;0;;12320;0
2022-12-26;14;14544;1518;3836;;14671;9 208;5372;9358;5616;874;-186;0;;12086;0
2022-12-26;15;14512;1485;3604;;14811;9 348;5743;8858;5250;433;-89;0;;11693;0
2022-12-26;16;14309;1460;3569;;15127;9 662;6093;8306;4861;38;-90;0;;12066;0
2022-12-26;17;14908;1506;3860;;15928;10 462;6602;8347;4915;0;-41;0;;12839;0
2022-12-26;18;14927;1490;4015;;15897;10 431;6416;8432;4978;0;78;0;;12596;0
2022-12-26;19;14920;1508;4076;;15981;10 516;6440;8550;5106;0;-69;0;;12747;0
2022-12-26;20;14907;1510;4372;;15756;10 291;5919;9077;5633;0;-89;0;;13252;0
2022-12-26;21;14671;1482;4504;;15409;9 944;5440;9336;5933;0;-104;0;;13099;0
2022-12-26;22;14199;1456;4466;;15140;9 677;5211;9312;5966;0;-325;0;;12677;0
2022-12-26;23;13659;1427;4478;;15173;9 710;5232;8956;5675;0;-530;0;;12333;0
2022-12-26;24;13368;1413;4360;;15519;10 056;5696;8402;5099;0;-730;0;;11248;0
2022-12-27;01;12856;1359;3457;;13982;9 178;5721;7815;4518;0;-679;0;;10024;0
2022-12-27;02;12250;1316;4158;;13977;9 410;5252;7777;4456;0;-779;0;;10037;0
2022-12-27;03;12150;1327;3980;;13977;9 410;5430;7702;4381;0;-982;0;;9842;0
2022-12-27;04;12500;1358;3829;;14081;9 514;5685;7794;4454;0;-980;0;;9503;0
2022-12-27;05;12746;1387;3958;;14286;9 719;5761;7962;4583;0;-977;0;;9655;0
2022-12-27;06;13451;1439;3963;;14561;9 657;5694;8435;4976;0;-678;0;;10339;0
2022-12-27;07;14580;1517;5311;;14727;10 555;5244;9415;5867;0;-79;0;;12351;0
2022-12-27;08;15942;1605;4462;;14833;10 601;6139;9581;5947;0;222;0;;7253;23839
2022-12-27;09;16909;1719;4222;;15046;10 815;6592;10103;6193;462;214;0;;7712;23839
2022-12-27;10;17557;1821;4499;;15009;11 218;6719;10735;6448;1325;103;0;;8348;23839
2022-12-27;11;18169;1897;3837;;15061;11 269;7433;10835;6551;1457;-99;0;;8510;23839
2022-12-27;12;18540;1910;3667;;14781;11 436;7769;10868;6592;1331;-98;0;;8500;23839
2022-12-27;13;18365;1900;3963;;14790;11 445;7482;10980;6738;1271;-98;0;;8615;23839
2022-12-27;14;18889;2009;2961;;15149;11 804;8843;11126;6938;1105;-1079;0;;8794;23839
2022-12-27;15;18967;1990;2536;;15624;12 126;9590;10219;6290;473;-841;0;;7938;23839
2022-12-27;16;19134;1901;2987;;15699;12 201;9214;9721;5954;54;199;0;;7452;23839
2022-12-27;17;19866;1973;2334;;16072;12 573;10239;9484;5589;0;144;0;;7180;23839
2022-12-27;18;19645;1940;2574;;16161;12 662;10089;9465;5615;0;91;0;;7176;23839
2022-12-27;19;19106;1891;2994;;16188;12 689;9695;9247;5392;0;163;0;;6910;23839
2022-12-27;20;18876;1866;2908;;16138;12 640;9732;8932;5089;0;211;0;;6601;23839
2022-12-27;21;18180;1825;3189;;16162;12 664;9475;8788;4948;0;-83;0;;6461;23839
2022-12-27;22;17241;1789;3738;;16662;13 164;9425;8465;4683;0;-650;0;;6218;23839
2022-12-27;23;16183;1654;4439;;16308;12 810;8371;8112;4423;0;-299;0;;13981;0
2022-12-27;24;14949;1520;4395;;15387;11 548;7153;7872;4196;0;-76;0;;12310;0
2022-12-28;01;14683;1486;3606;;14327;10 488;6882;7866;4258;0;-64;0;;11778;0
2022-12-28;02;14585;1476;3656;;14359;10 520;6864;7786;4175;0;-65;0;;11230;0
2022-12-28;03;14382;1459;3879;;14394;10 555;6676;7773;4162;0;-67;0;;11164;0
2022-12-28;04;14337;1456;3867;;14501;10 456;6589;7809;4199;0;-61;0;;11206;0
2022-12-28;05;14436;1472;4040;;14529;10 483;6443;8057;4446;0;-64;0;;11521;0
2022-12-28;06;14736;1510;3937;;14588;10 543;6606;8194;4585;0;-65;0;;12134;0
2022-12-28;07;15856;1597;4524;;15552;11 866;7343;8107;4451;0;406;0;;13475;0
2022-12-28;08;17307;1731;3620;;15759;11 884;8263;8734;4913;15;310;0;;6456;23839
2022-12-28;09;18260;1833;3460;;15830;11 935;8475;9334;5303;516;451;0;;7037;23839
2022-12-28;10;18918;1938;3070;;16013;12 117;9047;9741;5563;1051;130;0;;7510;23839
2022-12-28;11;19028;1911;3104;;15717;11 822;8718;9791;5616;1228;519;0;;7613;23839
2022-12-28;12;19064;1915;3279;;15922;12 026;8747;9824;5603;1359;493;0;;7678;23839
2022-12-28;13;18777;1886;3699;;15993;12 098;8399;9822;5632;1322;556;0;;7743;23839
2022-12-28;14;19262;1947;2977;;15812;11 917;8940;9815;5776;1042;506;0;;7833;23839
2022-12-28;15;19619;1894;2662;;15680;11 785;9123;9530;5704;552;966;0;;7636;23839
2022-12-28;16;19611;1870;2580;;15720;11 825;9245;9274;5614;71;1093;0;;7436;23839
2022-12-28;17;20347;1988;2341;;16919;13 024;10683;9237;5609;0;428;0;;7458;23839
2022-12-28;18;19901;1949;2964;;17209;13 314;10349;9326;5613;0;226;0;;7417;23839
2022-12-28;19;19472;1910;3174;;16924;13 029;9855;9325;5629;0;292;0;;7420;23839
2022-12-28;20;19253;1824;3789;;16906;12 803;9013;9224;5595;0;1016;0;;7353;23839
2022-12-28;21;18724;1819;3952;;16806;12 911;8959;9339;5810;0;426;0;;7546;23839
2022-12-28;22;17573;1689;4540;;16191;12 296;7756;9234;5727;0;583;0;;7399;23839
2022-12-28;23;16423;1620;4805;;15852;11 957;7152;9056;5581;0;215;0;;13879;0
2022-12-28;24;15543;1557;5274;;16247;11 918;6644;8962;5499;0;-62;0;;13213;0
2022-12-29;01;15156;1516;2977;;14878;9 691;6714;8511;5107;0;-68;0;;11630;0
2022-12-29;02;14387;1448;3382;;15037;9 757;6375;8080;4680;0;-69;0;;11041;0
2022-12-29;03;14124;1426;3679;;14928;9 648;5969;8224;4831;0;-70;0;;11084;0
2022-12-29;04;14381;1455;4063;;14991;10 068;6006;8443;5049;0;-67;0;;11251;0
2022-12-29;05;14694;1488;4067;;15049;10 126;6059;8698;5304;0;-63;0;;11512;0
2022-12-29;06;15291;1552;3917;;15163;10 071;6154;9188;5802;0;-51;0;;12217;0
2022-12-29;07;16018;1634;4165;;15832;10 698;6533;9452;6021;0;33;0;;14120;0
2022-12-29;08;17364;1747;2813;;16175;10 846;8033;9266;5798;7;65;0;;7383;23839
2022-12-29;09;17834;1812;2512;;16440;10 879;8368;9447;5691;346;20;0;;7437;23839
2022-12-29;10;18266;1866;2121;;16385;10 824;8704;9563;5708;763;-1;0;;7620;23839
2022-12-29;11;18437;1877;2046;;16190;10 630;8584;9670;5757;1066;183;0;;7803;23839
2022-12-29;12;18194;1848;2771;;16364;10 804;8034;9838;5791;1482;322;0;;8066;23839
2022-12-29;13;17733;1847;3339;;16423;10 863;7524;10045;5804;1886;165;0;;8291;23839
2022-12-29;14;18428;1898;2937;;16843;11 283;8346;9891;5744;1611;190;0;;8158;23839
2022-12-29;15;18701;1900;1902;;16772;11 211;9309;9237;5399;905;154;0;;7554;23839
2022-12-29;16;19085;1868;1898;;17295;11 735;9837;8715;5236;96;532;0;;7044;23839
2022-12-29;17;19683;1903;1619;;17440;11 879;10260;8789;5263;0;634;0;;7050;23839
2022-12-29;18;19576;1880;1940;;17518;11 958;10018;8924;5371;0;634;0;;7145;23839
