Doba;Godzina;Prognozowane zapotrzebowanie sieci;Wymagana rezerwa mocy OSP;Nadwy¿ka mocy dostêpna dla OSP (7) + (9) - [(3) - (12)] - (13);Nadwy¿ka mocy dostêpna dla OSP ponad wymagan¹ rezerwê moc (5) - (4);Moc dyspozycyjna JW i magazynów energii œwiadcz¹cych us³ugi bilansuj¹ce w ramach RB;Moc dyspozycyjna JW i magazynów energii œwiadcz¹cych us³ugi bilansuj¹ce w ramach RB dostêpna dla OSP;Przewidywana generacja JW i magazynów energii œwiadcz¹cych us³ugi bilansuj¹ce w ramach RB (3) - (9);Prognozowana generacja JW i magazynów energii nie œwiadcz¹cych us³ug bilansuj¹cych w ramach RB;Prognozowana sumaryczna generacja Ÿróde³ wiatrowych;Prognozowana sumaryczna generacja Ÿróde³ fotowoltaicznych;Planowane saldo wymiany miêdzysystemowej;Prognozowana wielkoœæ niedyspozycyjnoœci wynikaj¹ca z ograniczeñ sieciowych wystêpuj¹cych w sieci przesy³owej oraz sieci dystrybucyjnej w zakresie dostarczania energii elektrycznej;Prognozowana wielkoœæ niedyspozycyjnoœci wynikaj¹cych z warunków eksploatacyjnych JW œwiadcz¹cych us³ugi bilansuj¹ce w ramach RB;Przewidywana generacja zasobów wytwórczych nieobjêtych obowi¹zkami mocowymi;Obowi¹zki mocowe wszystkich jednostek rynku mocy
2023-01-23;01;14978;1572;3374;;15024;13 964;10590;4932;794;0;-545;0;;12477;0
2023-01-23;02;14747;1562;3606;;14849;14 218;10611;4792;657;0;-656;0;;12031;0
2023-01-23;03;14707;1604;3674;;15520;14 889;11215;4576;446;0;-1084;0;;12274;0
2023-01-23;04;14727;1580;3827;;15440;14 809;10981;4504;377;0;-758;0;;12086;0
2023-01-23;05;15272;1656;4288;;16678;16 047;11759;4466;342;0;-953;0;;12657;0
2023-01-23;06;16282;1688;4528;;17041;16 410;11882;4477;336;0;-77;0;;13151;0
2023-01-23;07;18711;1942;4287;;19310;18 679;14391;4375;321;0;-55;0;;16394;0
2023-01-23;08;20487;2094;3374;;20051;19 420;16047;4532;348;0;-91;0;;2755;23614
2023-01-23;09;21699;2211;2810;;20532;19 901;17090;4703;409;100;-94;0;;2839;23614
2023-01-23;10;22617;2296;2183;;20794;20 163;17980;4731;313;303;-93;0;;2866;23614
2023-01-23;11;22544;2291;1888;;20429;19 798;17910;4729;233;486;-94;0;;2819;23614
2023-01-23;12;22624;2304;1910;;20536;19 905;17994;4723;186;591;-93;0;;2816;23614
2023-01-23;13;22791;2320;1862;;20756;20 125;18263;4620;169;583;-93;0;;2834;23614
2023-01-23;14;23060;2330;1535;;20726;20 095;18560;4596;194;441;-96;0;;2838;23614
