Doba;Godzina;Prognozowane zapotrzebowanie sieci;Wymagana rezerwa mocy OSP;Nadwy¿ka mocy dostêpna dla OSP (7) + (9) - [(3) - (12)] - (13);Nadwy¿ka mocy dostêpna dla OSP ponad wymagan¹ rezerwê moc (5) - (4);Moc dyspozycyjna JW i magazynów energii œwiadcz¹cych us³ugi bilansuj¹ce w ramach RB;Moc dyspozycyjna JW i magazynów energii œwiadcz¹cych us³ugi bilansuj¹ce w ramach RB dostêpna dla OSP;Przewidywana generacja JW i magazynów energii œwiadcz¹cych us³ugi bilansuj¹ce w ramach RB (3) - (9);Prognozowana generacja JW i magazynów energii nie œwiadcz¹cych us³ug bilansuj¹cych w ramach RB;Prognozowana sumaryczna generacja Ÿróde³ wiatrowych;Prognozowana sumaryczna generacja Ÿróde³ fotowoltaicznych;Planowane saldo wymiany miêdzysystemowej;Prognozowana wielkoœæ niedyspozycyjnoœci wynikaj¹ca z ograniczeñ sieciowych wystêpuj¹cych w sieci przesy³owej oraz sieci dystrybucyjnej w zakresie dostarczania energii elektrycznej;Prognozowana wielkoœæ niedyspozycyjnoœci wynikaj¹cych z warunków eksploatacyjnych JW œwiadcz¹cych us³ugi bilansuj¹ce w ramach RB;Przewidywana generacja zasobów wytwórczych nieobjêtych obowi¹zkami mocowymi;Obowi¹zki mocowe wszystkich jednostek rynku mocy
2023-02-23;01;16014;1613;5071;;18333;14 167;9096;7084;2978;0;-166;0;;13293;0
2023-02-23;02;15600;1592;5395;;18364;14 198;8803;7089;2947;0;-291;0;;12865;0
2023-02-23;03;15677;1608;5185;;18359;14 193;9008;6998;2872;0;-329;0;;12801;0
2023-02-23;04;15764;1621;5225;;18434;14 268;9043;7079;2929;0;-358;0;;13021;0
2023-02-23;05;16144;1649;5116;;18433;14 267;9150;7207;3052;0;-213;0;;13290;0
2023-02-23;06;17161;1719;4392;;18311;14 145;9753;7222;3067;0;186;0;;14117;0
2023-02-23;07;18940;1874;3181;;18561;14 395;11215;7294;3139;24;432;0;;16146;0
2023-02-23;08;20162;2031;2041;;18297;14 697;12297;7729;3222;638;136;358;;5519;23614
2023-02-23;09;20431;2158;2137;;19028;15 428;12933;7930;2895;1839;-433;358;;5738;23614
2023-02-23;10;19923;2155;2318;;18548;14 948;12271;8100;2550;3036;-448;358;;5891;23614
2023-02-23;11;18632;2104;2929;;17841;14 241;10954;8243;2258;4271;-564;358;;6017;23614
2023-02-23;12;18393;2075;3353;;17822;14 222;10512;8153;2004;4694;-272;358;;5917;23614
2023-02-23;13;18544;1989;3794;;17799;14 199;10047;7692;1663;4436;806;358;;5450;23614
2023-02-23;14;19003;1938;3522;;17985;14 385;10505;7103;1364;3836;1395;358;;4889;23614
2023-02-23;15;19102;1934;3090;;18320;14 720;11272;6640;1313;2885;1190;358;;4444;23614
2023-02-23;16;19683;1915;2554;;18768;15 168;12256;6115;1317;1660;1312;358;;3984;23614
2023-02-23;17;20482;1918;2729;;19725;16 125;13038;5808;1441;561;1636;358;;3665;23614
2023-02-23;18;21578;1980;1975;;19906;16 098;13765;5978;1796;4;1836;358;;3789;23614
