Doba;Godzina;Prognozowane zapotrzebowanie sieci;Wymagana rezerwa mocy OSP;Nadwy¿ka mocy dostêpna dla OSP (7) + (9) - [(3) - (12)] - (13);Nadwy¿ka mocy dostêpna dla OSP ponad wymagan¹ rezerwê moc (5) - (4);Moc dyspozycyjna JW i magazynów energii œwiadcz¹cych us³ugi bilansuj¹ce w ramach RB;Moc dyspozycyjna JW i magazynów energii œwiadcz¹cych us³ugi bilansuj¹ce w ramach RB dostêpna dla OSP;Przewidywana generacja JW i magazynów energii œwiadcz¹cych us³ugi bilansuj¹ce w ramach RB (3) - (9);Prognozowana generacja JW i magazynów energii nie œwiadcz¹cych us³ug bilansuj¹cych w ramach RB;Prognozowana sumaryczna generacja Ÿróde³ wiatrowych;Prognozowana sumaryczna generacja Ÿróde³ fotowoltaicznych;Planowane saldo wymiany miêdzysystemowej;Prognozowana wielkoœæ niedyspozycyjnoœci wynikaj¹ca z ograniczeñ sieciowych wystêpuj¹cych w sieci przesy³owej oraz sieci dystrybucyjnej w zakresie dostarczania energii elektrycznej;Prognozowana wielkoœæ niedyspozycyjnoœci wynikaj¹cych z warunków eksploatacyjnych JW œwiadcz¹cych us³ugi bilansuj¹ce w ramach RB;Przewidywana generacja zasobów wytwórczych nieobjêtych obowi¹zkami mocowymi;Obowi¹zki mocowe wszystkich jednostek rynku mocy
2023-03-23;01;14926;1497;5662;;18206;13 798;8136;6790;3328;0;0;0;;12739;0
2023-03-23;02;14346;1450;6043;;18095;13 687;7644;6702;3287;0;0;0;;12447;0
2023-03-23;03;14072;1431;5828;;18465;13 223;7396;6686;3275;0;-9;0;;11965;0
2023-03-23;04;14147;1457;5900;;18465;13 224;7324;6819;3411;0;4;0;;12108;0
2023-03-23;05;14643;1488;5885;;18491;13 250;7365;7256;3858;0;22;0;;12813;0
2023-03-23;06;15214;1542;5643;;18473;13 232;7589;7625;4197;7;0;0;;13145;0
2023-03-23;07;17525;1754;4459;;19082;13 748;9289;7736;4135;369;501;0;;14813;0
2023-03-23;08;18799;1843;3267;;19219;15 609;9574;8183;4140;1204;1043;2769;;5976;23614
2023-03-23;09;19184;1923;3243;;19044;15 434;9422;8692;4137;2361;1070;2769;;6478;23614
2023-03-23;10;18528;1959;3491;;18951;15 341;9082;8890;3827;3540;556;2768;;6683;23614
2023-03-23;11;18135;2012;3594;;18635;15 025;8663;9472;4109;4325;0;2768;;7286;23614
2023-03-23;12;18197;2024;4253;;18662;15 393;8257;9932;4528;4533;8;2883;;7778;23614
2023-03-23;13;18669;2086;3704;;18973;15 704;9116;10154;5142;3689;-601;2883;;8008;23614
2023-03-23;14;18960;2018;3623;;18810;15 541;9035;9966;5244;3039;-41;2883;;7819;23614
2023-03-23;15;18729;1995;3070;;19105;15 836;9883;9196;4815;2259;-351;2884;;7047;23614
2023-03-23;16;18750;1930;2877;;19327;16 058;10298;8232;4235;1277;219;2883;;6057;23614
2023-03-23;17;19302;1884;3589;;19028;14 926;10272;8398;4644;561;631;1065;;6176;23614
2023-03-23;18;19714;1867;3314;;19612;15 510;10950;7710;4153;88;1054;1246;;5480;23614
2023-03-23;19;20691;1981;2243;;20169;16 067;12578;7223;3645;0;890;1246;;4933;23614
2023-03-23;20;20944;2046;1576;;20212;16 110;13469;7242;3643;0;233;1065;;4939;23614
2023-03-23;21;20194;1866;3508;;20171;15 852;11453;7358;3786;0;1383;891;;5083;23614
2023-03-23;22;18622;1723;4735;;20243;15 033;10298;7151;3664;0;1174;0;;4951;23614
2023-03-23;23;17026;1611;5794;;20399;14 841;9046;7074;3641;0;905;0;;13697;0
2023-03-23;24;15749;1502;6495;;20375;14 817;8322;6650;3272;0;777;0;;12431;0
2023-03-24;01;14781;1496;4175;;18309;12 581;8406;6375;3016;0;0;0;;12321;0
2023-03-24;02;14412;1467;4397;;18383;12 655;8258;6154;2800;0;0;0;;11774;0
2023-03-24;03;14438;1475;4242;;18391;12 664;8422;6016;2666;0;1;0;;12004;0
2023-03-24;04;14430;1474;4561;;18504;12 776;8215;6194;2845;0;21;0;;12119;0
2023-03-24;05;14745;1505;4479;;18534;12 806;8327;6407;3057;0;11;0;;12437;0
2023-03-24;06;15337;1507;5016;;18593;12 865;7849;6841;3419;9;648;0;;12471;0
2023-03-24;07;17349;1669;4786;;19159;13 252;8466;7619;4100;273;1264;0;;14408;0
2023-03-24;08;18594;1792;3458;;19187;15 353;8897;8434;4631;877;1262;2997;;6298;23614
2023-03-24;09;18909;1828;3399;;18970;15 136;8740;8639;4551;1576;1531;2997;;6511;23614
2023-03-24;10;18762;1904;2402;;19068;15 029;9629;8354;3983;2215;779;2997;;6225;23614
2023-03-24;11;18297;1948;3636;;18953;14 914;8281;9742;5005;3094;274;2997;;7630;23614
2023-03-24;12;18513;2011;3952;;18908;14 730;7781;10732;5829;3651;0;2997;;8668;23614
2023-03-24;13;18652;2021;4287;;18695;14 517;7233;11420;6537;3598;0;2997;;9350;23614
2023-03-24;14;19184;2042;3079;;18202;14 229;8152;11033;6278;3277;-1;2997;;8955;23614
2023-03-24;15;18956;2001;3247;;18641;14 807;8562;10393;5954;2541;0;2997;;8312;23614
2023-03-24;16;18892;1945;2826;;18883;15 049;9225;9667;5585;1564;0;2997;;7528;23614
2023-03-24;17;19237;1871;3261;;19189;15 216;9653;8780;5002;743;804;2302;;6611;23614
2023-03-24;18;19858;1822;2709;;19236;15 263;10488;7608;4030;159;1763;2066;;5409;23614
2023-03-24;19;20785;1881;2794;;20193;15 387;11361;7393;3730;0;2031;1233;;5082;23614
2023-03-24;20;20650;1873;2578;;20374;15 568;11757;7007;3344;0;1887;1233;;4679;23614
2023-03-24;21;19933;1776;3553;;20428;15 622;11179;6582;2970;0;2172;891;;4287;23614
2023-03-24;22;18423;1645;4876;;20410;14 713;9838;6665;3225;0;1920;0;;4490;23614
2023-03-24;23;16947;1584;5453;;20411;14 714;9260;6497;3124;0;1190;0;;13421;0
2023-03-24;24;15682;1522;4961;;20359;13 566;8605;6558;3190;0;519;0;;12673;0
