Doba;Godzina;Prognozowane zapotrzebowanie sieci;Wymagana rezerwa mocy OSP;Nadwy¿ka mocy dostêpna dla OSP (7) + (9) - [(3) - (12)] - (13);Nadwy¿ka mocy dostêpna dla OSP ponad wymagan¹ rezerwê moc (5) - (4);Moc dyspozycyjna JW i magazynów energii œwiadcz¹cych us³ugi bilansuj¹ce w ramach RB;Moc dyspozycyjna JW i magazynów energii œwiadcz¹cych us³ugi bilansuj¹ce w ramach RB dostêpna dla OSP;Przewidywana generacja JW i magazynów energii œwiadcz¹cych us³ugi bilansuj¹ce w ramach RB (3) - (9);Prognozowana generacja JW i magazynów energii nie œwiadcz¹cych us³ug bilansuj¹cych w ramach RB;Prognozowana sumaryczna generacja Ÿróde³ wiatrowych;Prognozowana sumaryczna generacja Ÿróde³ fotowoltaicznych;Planowane saldo wymiany miêdzysystemowej;Prognozowana wielkoœæ niedyspozycyjnoœci wynikaj¹ca z ograniczeñ sieciowych wystêpuj¹cych w sieci przesy³owej oraz sieci dystrybucyjnej w zakresie dostarczania energii elektrycznej;Prognozowana wielkoœæ niedyspozycyjnoœci wynikaj¹cych z warunków eksploatacyjnych JW œwiadcz¹cych us³ugi bilansuj¹ce w ramach RB;Przewidywana generacja zasobów wytwórczych nieobjêtych obowi¹zkami mocowymi;Obowi¹zki mocowe wszystkich jednostek rynku mocy
2023-04-23;01;12549;1251;3762;;18303;9 396;5635;6862;3858;0;53;0;;10939;0
2023-04-23;02;11971;1196;4292;;18002;9 096;4803;7064;4002;0;104;0;;10145;0
2023-04-23;03;11762;1206;4080;;17986;9 080;4999;6965;3914;0;-203;0;;9995;0
2023-04-23;04;11660;1209;4178;;17989;9 082;4904;7070;3989;0;-315;0;;10084;0
2023-04-23;05;11653;1194;4387;;17988;9 082;4696;7108;4025;0;-150;0;;10123;0
2023-04-23;06;11384;1207;4189;;18031;9 125;4936;7065;3963;13;-616;0;;10082;0
2023-04-23;07;11238;1241;4497;;18050;9 144;4646;7297;3956;541;-706;0;;10292;0
2023-04-23;08;10996;1356;4642;;18049;9 143;4501;7726;3634;2447;-1230;0;;10769;0
2023-04-23;09;10780;1451;3737;;18031;9 351;5614;6397;1301;4807;-1231;0;;9243;0
2023-04-23;10;10800;1553;4240;;18388;9 709;5469;6698;929;6599;-1367;0;;9333;0
2023-04-23;11;10639;1662;4924;;18542;10 091;5166;7816;1739;7547;-2343;0;;10751;0
2023-04-23;12;10826;1704;5686;;18163;10 159;4474;9114;3094;7487;-2762;0;;11319;0
2023-04-23;13;11381;1700;5730;;18155;10 513;4783;9346;3776;6473;-2748;0;;11383;0
2023-04-23;14;11993;1597;5890;;18122;11 186;5296;8343;3333;5198;-1646;0;;10400;0
2023-04-23;15;11979;1573;6545;;18438;12 036;5491;8132;3358;4658;-1645;0;;10300;0
2023-04-23;16;12058;1540;7545;;18455;12 628;5084;8301;3688;4215;-1327;0;;10478;0
2023-04-23;17;12684;1481;7041;;18615;12 788;5747;7331;2976;3423;-395;0;;10010;0
2023-04-23;18;12801;1391;5902;;18665;12 838;6937;5759;1893;2062;105;0;;10242;0
2023-04-23;19;13794;1351;5006;;18812;12 985;7979;4826;1431;730;989;0;;10454;0
2023-04-23;20;15150;1527;2751;;19021;13 194;10443;4414;1229;68;294;0;;12520;0
2023-04-23;21;16055;1569;2068;;19124;13 297;11229;4314;1167;0;512;0;;12982;0
2023-04-23;22;15341;1419;3321;;19084;13 257;9936;4059;903;0;1346;0;;11347;0
2023-04-23;23;14428;1334;4303;;19039;13 295;8992;4049;960;0;1387;0;;10822;0
2023-04-23;24;13447;1228;5769;;19221;13 688;7919;4078;988;0;1450;0;;9784;0
2023-04-24;01;12699;1288;4295;3007;17865;12 894;8599;4024;979;0;75;0;0;10273;0
2023-04-24;02;12522;1272;5393;4121;18005;13 704;8311;4136;1079;0;75;0;0;10188;0
