Doba;Godzina;Prognozowane zapotrzebowanie sieci;Wymagana rezerwa mocy OSP;Nadwy¿ka mocy dostêpna dla OSP (7) + (9) - [(3) - (12)] - (13);Nadwy¿ka mocy dostêpna dla OSP ponad wymagan¹ rezerwê moc (5) - (4);Moc dyspozycyjna JW i magazynów energii œwiadcz¹cych us³ugi bilansuj¹ce w ramach RB;Moc dyspozycyjna JW i magazynów energii œwiadcz¹cych us³ugi bilansuj¹ce w ramach RB dostêpna dla OSP;Przewidywana generacja JW i magazynów energii œwiadcz¹cych us³ugi bilansuj¹ce w ramach RB (3) - (9);Prognozowana generacja JW i magazynów energii nie œwiadcz¹cych us³ug bilansuj¹cych w ramach RB;Prognozowana sumaryczna generacja Ÿróde³ wiatrowych;Prognozowana sumaryczna generacja Ÿróde³ fotowoltaicznych;Planowane saldo wymiany miêdzysystemowej;Prognozowana wielkoœæ niedyspozycyjnoœci wynikaj¹ca z ograniczeñ sieciowych wystêpuj¹cych w sieci przesy³owej oraz sieci dystrybucyjnej w zakresie dostarczania energii elektrycznej;Prognozowana wielkoœæ niedyspozycyjnoœci wynikaj¹cych z warunków eksploatacyjnych JW œwiadcz¹cych us³ugi bilansuj¹ce w ramach RB;Przewidywana generacja zasobów wytwórczych nieobjêtych obowi¹zkami mocowymi;Obowi¹zki mocowe wszystkich jednostek rynku mocy
2023-05-23;01;14523;1329;5635;4306;19701;14 224;8589;4657;2816;0;1277;0;0;11626;0
2023-05-23;02;13792;1310;5799;4489;19698;14 221;8422;4663;2843;0;707;0;0;11382;0
2023-05-23;03;13333;1301;5892;4590;19702;14 225;8333;4582;2777;0;418;0;0;11514;0
2023-05-23;04;13193;1281;5988;4707;19713;14 236;8249;4427;2559;0;517;0;0;11284;0
2023-05-23;05;13374;1270;5686;4416;19746;14 269;8583;3911;2040;3;880;0;0;10861;0
2023-05-23;06;13753;1280;5666;4386;19801;14 324;8658;3754;1832;141;1341;0;0;11006;0
2023-05-23;07;15717;1534;3659;2124;19913;14 226;10568;3864;1641;831;1285;0;0;13341;0
2023-05-23;08;16330;1673;3243;1570;19811;14 124;10881;4221;1019;2741;1228;0;0;2976;22848
2023-05-23;09;15797;1791;3089;1298;19556;13 869;10780;4423;296;4832;594;0;0;3193;22848
2023-05-23;10;15222;1826;3527;1701;19449;14 122;10412;4685;116;6054;125;183;0;3533;22848
2023-05-23;11;14353;1791;4924;3133;19513;14 186;9079;5250;467;6705;24;183;0;4123;22848
2023-05-23;12;14717;1839;5930;4091;19560;14 978;8865;5827;901;7025;25;183;0;4699;22848
2023-05-23;13;14855;1844;5664;3820;19549;14 967;9120;5711;853;6871;24;183;0;4588;22848
2023-05-23;14;15499;1863;4718;2855;19547;15 186;10285;5189;710;6016;26;183;0;4067;22848
2023-05-23;15;15774;1851;3643;1792;19278;14 917;11092;4658;697;4909;24;183;0;3586;22848
2023-05-23;16;16242;1781;3339;1557;19347;14 986;11463;4275;663;4012;504;184;0;3168;22848
2023-05-23;17;16619;1719;3261;1541;19446;14 875;11432;3927;621;3273;1260;183;0;2807;22848
2023-05-23;18;17424;1704;2983;1279;20061;15 490;12325;3372;609;2163;1727;183;0;2342;22848
2023-05-23;19;17867;1713;2627;913;20327;15 756;13130;3195;873;1080;1543;0;0;2230;22848
2023-05-23;20;18578;1776;1423;-353;20235;15 664;14241;3133;1067;328;1204;0;0;2243;22848
2023-05-23;21;18975;1785;1326;-459;20310;15 739;14413;3279;1366;22;1284;0;0;2411;22848
2023-05-23;22;18454;1714;2222;509;20361;15 790;13568;3667;1792;0;1219;0;0;2767;22848
2023-05-23;23;17099;1579;3947;2368;20619;16 048;12101;3786;2017;0;1212;0;0;14505;0
2023-05-23;24;15653;1458;5357;3900;20872;16 124;10767;3866;2119;0;1020;0;0;13184;0
2023-05-24;01;14479;1337;5697;4360;19413;15 253;9556;3849;2106;0;1074;0;0;11700;0
2023-05-24;02;13818;1320;5962;4642;19418;15 258;9296;3813;2038;0;709;0;0;11241;0
2023-05-24;03;13591;1341;5743;4402;19418;15 258;9515;3742;1976;0;334;0;0;11346;0
2023-05-24;04;13726;1345;5700;4355;19459;15 299;9599;3720;1964;0;407;0;0;11471;0
2023-05-24;05;13680;1307;6053;4746;19507;15 347;9294;3600;1841;3;787;0;0;11018;0
