Doba;Godzina;Prognozowane zapotrzebowanie sieci;Wymagana rezerwa mocy OSP;Nadwy¿ka mocy dostêpna dla OSP (7) + (9) - [(3) - (12)] - (13);Nadwy¿ka mocy dostêpna dla OSP ponad wymagan¹ rezerwê moc (5) - (4);Moc dyspozycyjna JW i magazynów energii œwiadcz¹cych us³ugi bilansuj¹ce w ramach RB;Moc dyspozycyjna JW i magazynów energii œwiadcz¹cych us³ugi bilansuj¹ce w ramach RB dostêpna dla OSP;Przewidywana generacja JW i magazynów energii œwiadcz¹cych us³ugi bilansuj¹ce w ramach RB (3) - (9);Prognozowana generacja JW i magazynów energii nie œwiadcz¹cych us³ug bilansuj¹cych w ramach RB;Prognozowana sumaryczna generacja Ÿróde³ wiatrowych;Prognozowana sumaryczna generacja Ÿróde³ fotowoltaicznych;Planowane saldo wymiany miêdzysystemowej;Prognozowana wielkoœæ niedyspozycyjnoœci wynikaj¹ca z ograniczeñ sieciowych wystêpuj¹cych w sieci przesy³owej oraz sieci dystrybucyjnej w zakresie dostarczania energii elektrycznej;Prognozowana wielkoœæ niedyspozycyjnoœci wynikaj¹cych z warunków eksploatacyjnych JW œwiadcz¹cych us³ugi bilansuj¹ce w ramach RB;Przewidywana generacja zasobów wytwórczych nieobjêtych obowi¹zkami mocowymi;Obowi¹zki mocowe wszystkich jednostek rynku mocy
2023-06-23;01;15648;1251;3205;1954;16465;12 090;8885;3502;1634;0;3261;0;0;10246;0
2023-06-23;02;15128;1278;2796;1518;16534;12 113;9317;3342;1457;0;2469;0;0;10053;0
2023-06-23;03;14806;1290;2879;1589;16518;12 098;9218;3506;1628;0;2081;0;0;10463;0
2023-06-23;04;14725;1285;3028;1743;16513;11 884;8855;3854;1995;0;2015;0;0;10608;0
2023-06-23;05;14339;1281;2886;1605;16513;11 884;8998;3632;1725;19;1709;0;0;9957;0
2023-06-23;06;14999;1319;2377;1058;16793;12 164;9787;3001;1018;233;2212;0;0;10087;0
2023-06-23;07;15808;1402;3215;1813;17249;12 620;9404;3587;1160;1074;2817;0;0;11593;0
2023-06-23;08;16974;1539;2652;1114;17163;12 534;9881;3919;953;2195;3173;0;0;2372;22848
2023-06-23;09;17932;1643;2267;625;18070;13 651;11174;3610;629;2681;3148;210;0;2175;22848
2023-06-23;10;17739;1668;2690;1022;17875;13 456;10555;4124;754;3566;3059;210;0;2713;22848
2023-06-23;11;17760;1665;2140;475;17335;13 128;10427;3999;633;3658;3334;560;0;2754;22848
2023-06-23;12;18542;1768;1334;-434;17914;13 707;11865;3796;504;3450;2881;509;0;2706;22848
2023-06-23;13;18412;1757;1552;-205;17991;13 784;11740;4026;635;3303;2646;491;0;2890;22848
2023-06-23;14;18076;1703;1846;143;17817;13 610;11282;4008;604;3174;2786;481;0;2834;22848
2023-06-23;15;17360;1659;2142;483;17199;12 992;10368;4118;489;3681;2874;481;0;2945;22848
2023-06-23;16;17484;1633;2448;815;17562;13 145;10425;4034;563;3329;3024;271;0;2863;22848
2023-06-23;17;17537;1587;2686;1099;17456;13 039;10082;4249;1049;2664;3206;271;0;3050;22848
2023-06-23;18;18117;1622;2589;967;18233;13 816;10956;4085;1210;1939;3077;271;0;2887;22848
2023-06-23;19;18435;1568;2758;1190;18578;13 948;11191;3820;1215;1115;3424;0;0;2564;22848
2023-06-23;20;18671;1533;3097;1563;19091;14 462;11366;3612;1165;450;3693;0;0;2261;22848
2023-06-23;21;18777;1530;2978;1449;19171;14 541;11563;3635;1352;91;3579;0;0;2235;22848
2023-06-23;22;18274;1481;3257;1776;19213;14 584;11327;3500;1305;0;3447;0;0;2049;22848
2023-06-23;23;17260;1358;4468;3110;19199;14 570;10102;3453;1419;0;3705;0;0;11843;0
2023-06-23;24;15622;1255;5298;4044;18908;14 278;8980;3573;1612;0;3069;0;0;10814;0
2023-06-24;01;14599;1149;3172;2024;15832;10 997;7824;3359;1447;0;3416;0;0;9070;0
2023-06-24;02;14154;1153;3136;1983;16220;11 385;8249;3055;1150;0;2851;0;0;9299;0
