Doba;Godzina;Prognozowane zapotrzebowanie sieci;Wymagana rezerwa mocy OSP;Nadwy¿ka mocy dostêpna dla OSP (7) + (9) - [(3) - (12)] - (13);Nadwy¿ka mocy dostêpna dla OSP ponad wymagan¹ rezerwê moc (5) - (4);Moc dyspozycyjna JW i magazynów energii œwiadcz¹cych us³ugi bilansuj¹ce w ramach RB;Moc dyspozycyjna JW i magazynów energii œwiadcz¹cych us³ugi bilansuj¹ce w ramach RB dostêpna dla OSP;Przewidywana generacja JW i magazynów energii œwiadcz¹cych us³ugi bilansuj¹ce w ramach RB (3) - (9);Prognozowana generacja JW i magazynów energii nie œwiadcz¹cych us³ug bilansuj¹cych w ramach RB;Prognozowana sumaryczna generacja Ÿróde³ wiatrowych;Prognozowana sumaryczna generacja Ÿróde³ fotowoltaicznych;Planowane saldo wymiany miêdzysystemowej;Prognozowana wielkoœæ niedyspozycyjnoœci wynikaj¹ca z ograniczeñ sieciowych wystêpuj¹cych w sieci przesy³owej oraz sieci dystrybucyjnej w zakresie dostarczania energii elektrycznej;Prognozowana wielkoœæ niedyspozycyjnoœci wynikaj¹cych z warunków eksploatacyjnych JW œwiadcz¹cych us³ugi bilansuj¹ce w ramach RB;Przewidywana generacja zasobów wytwórczych nieobjêtych obowi¹zkami mocowymi;Obowi¹zki mocowe wszystkich jednostek rynku mocy
2023-07-23;01;12351;1094;2277;1183;18427;10 163;7886;2862;1046;0;1603;0;0;9152;0
2023-07-23;02;11548;987;2843;1856;17934;9 310;6467;3167;1367;0;1914;0;0;8398;0
2023-07-23;03;11040;979;3191;2212;17942;9 318;6127;3359;1561;0;1555;0;0;8061;0
2023-07-23;04;11033;1022;2994;1972;17974;9 350;6357;3589;1800;0;1088;0;0;8256;0
2023-07-23;05;10874;1051;2831;1781;18061;9 437;6606;3732;1930;4;536;0;0;8620;0
2023-07-23;06;10539;1078;2983;1905;18049;9 425;6442;4064;2178;202;33;0;0;8829;0
2023-07-23;07;10623;1130;3321;2191;18168;9 544;6223;4367;2148;959;33;0;0;8847;0
2023-07-23;08;10690;1198;3539;2341;18043;9 419;5880;4752;1993;2219;58;0;0;8719;0
2023-07-23;09;10850;1289;3075;1786;18027;9 413;6338;4479;1150;3512;34;0;0;8664;0
2023-07-23;10;11421;1395;2965;1569;18026;9 412;6448;4940;1124;4578;33;0;0;9200;0
2023-07-23;11;11737;1480;3355;1875;18001;9 387;6032;5671;1375;5920;33;0;0;8879;0
2023-07-23;12;11691;1482;3931;2449;17981;9 377;5446;6211;1786;6228;34;0;0;8881;0
2023-07-23;13;11727;1496;4047;2552;17966;9 135;5088;6605;2208;6334;34;0;0;9164;0
