Doba;Godzina;Prognozowane zapotrzebowanie sieci;Wymagana rezerwa mocy OSP;Nadwy¿ka mocy dostêpna dla OSP (7) + (9) - [(3) - (12)] - (13);Nadwy¿ka mocy dostêpna dla OSP ponad wymagan¹ rezerwê moc (5) - (4);Moc dyspozycyjna JW i magazynów energii œwiadcz¹cych us³ugi bilansuj¹ce w ramach RB;Moc dyspozycyjna JW i magazynów energii œwiadcz¹cych us³ugi bilansuj¹ce w ramach RB dostêpna dla OSP;Przewidywana generacja JW i magazynów energii œwiadcz¹cych us³ugi bilansuj¹ce w ramach RB (3) - (9);Prognozowana generacja JW i magazynów energii nie œwiadcz¹cych us³ug bilansuj¹cych w ramach RB;Prognozowana sumaryczna generacja Ÿróde³ wiatrowych;Prognozowana sumaryczna generacja Ÿróde³ fotowoltaicznych;Planowane saldo wymiany miêdzysystemowej;Prognozowana wielkoœæ niedyspozycyjnoœci wynikaj¹ca z ograniczeñ sieciowych wystêpuj¹cych w sieci przesy³owej oraz sieci dystrybucyjnej w zakresie dostarczania energii elektrycznej;Prognozowana wielkoœæ niedyspozycyjnoœci wynikaj¹cych z warunków eksploatacyjnych JW œwiadcz¹cych us³ugi bilansuj¹ce w ramach RB;Przewidywana generacja zasobów wytwórczych nieobjêtych obowi¹zkami mocowymi;Obowi¹zki mocowe wszystkich jednostek rynku mocy
2023-08-23;01;14908;1429;3796;2367;17947;15 331;11535;2520;731;0;853;0;0;12294;0
2023-08-23;02;14639;1452;3386;1934;17995;15 153;11767;2411;647;0;461;0;0;12282;0
2023-08-23;03;14549;1457;3112;1655;17981;15 138;12026;2238;510;0;284;0;0;12263;0
2023-08-23;04;14378;1433;3410;1977;17978;15 136;11726;2237;507;0;415;0;0;12106;0
2023-08-23;05;14538;1421;3647;2227;18004;15 162;11514;2266;527;0;758;0;0;11915;0
2023-08-23;06;14675;1442;3580;2139;18037;15 195;11614;2360;570;4;701;0;0;12308;0
2023-08-23;07;16041;1562;3568;2006;18753;15 701;12133;2537;494;540;1371;0;0;13653;0
2023-08-23;08;17093;1810;3044;1234;19823;16 772;13727;3058;330;2015;307;0;0;1761;22795
2023-08-23;09;17253;1926;2995;1069;19579;16 527;13533;3622;111;3848;98;0;0;2338;22795
2023-08-23;10;16306;1978;3409;1431;18886;15 835;12426;4440;110;5801;-560;0;0;3178;22795
2023-08-23;11;15453;2092;3423;1331;18716;15 873;12195;5143;205;7216;-1885;256;0;3895;22795
2023-08-23;12;15862;2121;4083;1962;18423;16 004;11639;5602;318;7975;-1380;282;0;4349;22795
2023-08-23;13;16213;2196;3913;1717;18483;16 837;12570;5623;413;7804;-1980;354;0;4368;22795
2023-08-23;14;16341;2087;4811;2724;18194;16 993;11828;5478;494;7280;-964;354;0;4210;22795
2023-08-23;15;15936;2068;5132;3065;18094;17 103;11740;5441;546;7003;-1245;230;0;4197;22795
2023-08-23;16;15914;1942;5922;3980;17774;16 990;10838;5246;495;6608;-171;230;0;3983;22795
2023-08-23;17;16460;1902;5579;3677;18053;17 269;11460;4731;476;5408;269;230;0;3484;22795
2023-08-23;18;17397;1839;4463;2625;17978;17 194;12731;3835;408;3296;831;0;0;2559;22795
2023-08-23;19;18969;1964;2387;423;19182;18 398;16011;2968;371;1208;-10;0;0;1727;22795
2023-08-23;20;19689;1960;1405;-555;19262;18 478;17073;2550;424;89;66;0;0;1346;22795
2023-08-23;21;19794;1942;1933;-9;19540;18 756;16823;2553;479;0;418;0;0;1287;22795
2023-08-23;22;19019;1833;2723;890;19499;18 715;15992;2486;427;0;541;0;0;1164;22795
2023-08-23;23;17385;1658;4171;2513;19617;18 413;14242;2262;298;0;881;0;0;14519;0
2023-08-23;24;16062;1558;5178;3621;19526;18 420;13241;2214;326;0;607;0;0;13657;0
2023-08-24;01;14831;1398;4138;2740;16731;15 809;11671;2191;399;0;969;0;0;12169;0
2023-08-24;02;14431;1413;4185;2772;16801;15 674;11490;2290;532;0;652;0;0;11907;0
2023-08-24;03;14209;1387;4680;3292;16861;15 734;11054;2448;713;0;707;0;0;11610;0
2023-08-24;04;14095;1367;4865;3498;16938;15 602;10737;2510;775;0;848;0;0;11355;0
2023-08-24;05;14225;1407;4232;2824;17047;15 363;11131;2527;784;0;567;0;0;11749;0
2023-08-24;06;14416;1448;3975;2527;17047;15 363;11388;2625;859;3;403;0;0;12608;0
2023-08-24;07;16008;1637;3559;1922;17809;16 473;12914;2730;784;392;364;0;0;14586;0
2023-08-24;08;16860;1745;3404;1659;17489;16 235;12805;3285;608;1978;770;26;0;2137;22795
2023-08-24;09;17145;1883;3286;1403;17219;16 174;12783;3854;365;3911;509;105;0;2720;22795
2023-08-24;10;16430;2008;3820;1812;17213;16 378;12453;4664;303;5887;-687;105;0;3529;22795
2023-08-24;11;15741;2070;3757;1687;17080;16 245;12090;5183;347;6952;-1531;398;0;4069;22795
2023-08-24;12;15877;2088;4488;2400;17121;16 286;11401;5669;465;7788;-1193;398;0;4562;22795
2023-08-24;13;16056;2072;5419;3348;17138;17 138;11331;5607;516;7623;-883;388;0;4515;22795
2023-08-24;14;16226;2059;5332;3273;17236;17 236;11517;5561;555;7335;-852;388;0;4489;22795
2023-08-24;15;16211;2037;4996;2959;17240;17 240;11856;5224;514;6610;-868;388;0;4180;22795
2023-08-24;16;16187;1940;6045;4105;17240;17 240;11195;4933;428;6132;59;0;0;3889;22795
2023-08-24;17;16579;1874;5672;3798;17240;17 240;11568;4397;281;5117;614;0;0;3333;22795
2023-08-24;18;17502;1889;3749;1860;17406;17 406;13657;3516;150;3257;329;0;0;2412;22795
2023-08-24;19;18694;1934;2460;526;18615;18 615;16155;2463;76;1010;76;0;0;1506;22795
2023-08-24;20;19594;1954;1353;-601;18572;18 572;17219;2220;102;79;156;0;0;1191;22795
2023-08-24;21;20025;1985;1029;-956;18571;18 571;17542;2283;179;0;200;0;0;1237;22795
2023-08-24;22;18841;1781;3099;1318;18581;18 581;15482;2426;339;0;933;0;0;1299;22795
2023-08-24;23;17190;1610;3977;2367;18094;17 366;13389;2600;595;0;1201;0;0;14188;0
2023-08-24;24;15878;1538;4932;3394;18070;17 342;12411;2875;957;0;593;0;0;13476;0
2023-08-25;01;14750;1375;4872;3497;15974;15 246;10374;3119;1314;0;1257;0;0;11956;0
2023-08-25;02;14260;1356;5340;3984;15997;15 269;9929;3427;1662;0;905;0;0;11812;0
2023-08-25;03;13864;1378;5680;4302;16055;15 327;9647;3928;2091;0;289;0;0;12122;0
