Doba;Godzina;Prognozowane zapotrzebowanie sieci;Wymagana rezerwa mocy OSP;Nadwy¿ka mocy dostêpna dla OSP (7) + (9) - [(3) - (12)] - (13);Nadwy¿ka mocy dostêpna dla OSP ponad wymagan¹ rezerwê moc (5) - (4);Moc dyspozycyjna JW i magazynów energii œwiadcz¹cych us³ugi bilansuj¹ce w ramach RB;Moc dyspozycyjna JW i magazynów energii œwiadcz¹cych us³ugi bilansuj¹ce w ramach RB dostêpna dla OSP;Przewidywana generacja JW i magazynów energii œwiadcz¹cych us³ugi bilansuj¹ce w ramach RB (3) - (9);Prognozowana generacja JW i magazynów energii nie œwiadcz¹cych us³ug bilansuj¹cych w ramach RB;Prognozowana sumaryczna generacja Ÿróde³ wiatrowych;Prognozowana sumaryczna generacja Ÿróde³ fotowoltaicznych;Planowane saldo wymiany miêdzysystemowej;Prognozowana wielkoœæ niedyspozycyjnoœci wynikaj¹ca z ograniczeñ sieciowych wystêpuj¹cych w sieci przesy³owej oraz sieci dystrybucyjnej w zakresie dostarczania energii elektrycznej;Prognozowana wielkoœæ niedyspozycyjnoœci wynikaj¹cych z warunków eksploatacyjnych JW œwiadcz¹cych us³ugi bilansuj¹ce w ramach RB;Przewidywana generacja zasobów wytwórczych nieobjêtych obowi¹zkami mocowymi;Obowi¹zki mocowe wszystkich jednostek rynku mocy
2023-09-23;01;14133;1241;2469;1228;15974;11 562;9093;3081;1318;0;1959;0;0;10717;0
2023-09-23;02;13553;1192;2552;1360;15911;11 274;8721;2955;1190;0;1877;0;0;10190;0
2023-09-23;03;13198;1197;2379;1182;15884;11 247;8868;2826;1083;0;1504;0;0;10166;0
2023-09-23;04;13131;1216;2401;1184;16166;11 529;9128;2743;991;0;1260;0;0;10388;0
2023-09-23;05;13161;1208;2490;1282;16059;11 422;8931;2843;1088;0;1387;0;0;10372;0
2023-09-23;06;13267;1202;2492;1289;15925;11 288;8796;2902;1149;0;1569;0;0;10332;0
2023-09-23;07;13850;1248;2736;1488;16349;11 923;9188;2828;1041;43;1834;0;0;10682;0
2023-09-23;08;14785;1379;2730;1352;16667;12 450;9510;3498;1317;763;1777;209;0;11758;0
2023-09-23;09;15366;1509;2580;1071;16774;12 557;9768;3974;1217;2070;1624;209;0;12176;0
2023-09-23;10;15503;1654;2190;536;16985;12 768;10369;4314;1075;3261;820;209;0;12735;0
2023-09-23;11;15742;1743;1331;-412;16888;12 671;11131;4365;993;3614;245;209;0;13044;0
2023-09-23;12;15915;1748;1490;-258;16658;12 441;10743;4584;1072;3951;589;209;0;13316;0
2023-09-23;13;15862;1777;1818;41;16631;12 835;10808;4914;1376;3902;140;209;0;13795;0
2023-09-23;14;15934;1682;2191;509;16051;12 255;9855;5098;1710;3564;981;209;0;13243;0
2023-09-23;15;15778;1675;1756;81;16342;12 546;10581;4550;1428;2968;647;209;0;12965;0
2023-09-23;16;16254;1651;1264;-387;16771;12 766;11503;3797;1246;2122;955;0;0;13046;0
2023-09-23;17;16215;1583;1552;-31;17060;13 055;11504;3514;1264;1347;1198;0;0;13154;0
2023-09-23;18;16338;1468;2030;561;16881;12 876;10846;3481;1453;641;2011;0;0;12879;0
2023-09-23;19;16271;1396;2887;1491;17022;13 017;10130;3438;1542;73;2702;0;0;12520;0
2023-09-23;20;16810;1497;2043;546;17161;13 156;11114;3713;1708;0;1984;0;0;13310;0
2023-09-23;21;16517;1425;2884;1458;17140;13 135;10251;3984;1963;0;2282;0;0;12771;0
2023-09-23;22;15341;1281;3646;2365;16878;12 044;8398;4404;2495;0;2539;0;0;11482;0
2023-09-23;23;14295;1317;3560;2243;17131;12 080;8520;4719;2871;0;1056;0;0;11877;0
2023-09-23;24;13611;1287;3502;2215;16926;11 709;8207;4768;2895;0;636;0;0;10918;0
2023-09-24;01;12970;1208;3349;2141;16055;10 583;7234;4800;2871;0;937;0;0;10020;0
2023-09-24;02;12218;1137;3516;2380;15557;10 085;6569;4723;2798;0;926;0;0;9460;0
2023-09-24;03;11526;1107;3697;2590;15551;10 079;6382;4526;2626;0;618;0;0;9306;0
2023-09-24;04;11379;1118;3374;2256;15551;10 079;6705;4262;2312;0;412;0;0;9094;0
2023-09-24;05;11421;1118;3334;2215;15556;10 084;6750;4202;2246;0;469;0;0;9194;0
2023-09-24;06;11411;1088;3317;2229;15556;10 084;6766;3788;1832;0;857;0;0;9042;0
