Doba;Godzina;Prognozowane zapotrzebowanie sieci;Wymagana rezerwa mocy OSP;Nadwy¿ka mocy dostêpna dla OSP (7) + (9) - [(3) - (12)] - (13);Nadwy¿ka mocy dostêpna dla OSP ponad wymagan¹ rezerwê moc (5) - (4);Moc dyspozycyjna JW i magazynów energii œwiadcz¹cych us³ugi bilansuj¹ce w ramach RB;Moc dyspozycyjna JW i magazynów energii œwiadcz¹cych us³ugi bilansuj¹ce w ramach RB dostêpna dla OSP;Przewidywana generacja JW i magazynów energii œwiadcz¹cych us³ugi bilansuj¹ce w ramach RB (3) - (9);Prognozowana generacja JW i magazynów energii nie œwiadcz¹cych us³ug bilansuj¹cych w ramach RB;Prognozowana sumaryczna generacja Ÿróde³ wiatrowych;Prognozowana sumaryczna generacja Ÿróde³ fotowoltaicznych;Planowane saldo wymiany miêdzysystemowej;Prognozowana wielkoœæ niedyspozycyjnoœci wynikaj¹ca z ograniczeñ sieciowych wystêpuj¹cych w sieci przesy³owej oraz sieci dystrybucyjnej w zakresie dostarczania energii elektrycznej;Prognozowana wielkoœæ niedyspozycyjnoœci wynikaj¹cych z warunków eksploatacyjnych JW œwiadcz¹cych us³ugi bilansuj¹ce w ramach RB;Przewidywana generacja zasobów wytwórczych nieobjêtych obowi¹zkami mocowymi;Obowi¹zki mocowe wszystkich jednostek rynku mocy
2023-10-23;01;13813;1558;3865;2308;18520;14 115;10250;5470;2486;0;-1907;0;0;12461;0
2023-10-23;02;13554;1604;3490;1887;18670;14 265;10774;5392;2400;0;-2612;0;0;12836;0
2023-10-23;03;13414;1622;3620;1998;18673;14 712;11092;5217;2224;0;-2895;0;0;12875;0
2023-10-23;04;13567;1606;3753;2147;18738;14 777;11024;5023;2043;0;-2480;0;0;12823;0
2023-10-23;05;13909;1626;3638;2013;19059;15 098;11459;4718;1737;0;-2268;0;0;13159;0
2023-10-23;06;14963;1689;3277;1588;19479;15 308;12031;4710;1681;0;-1778;0;0;13894;0
2023-10-23;07;17006;1792;3186;1394;19891;15 944;12758;4779;1700;0;-530;0;0;15793;0
2023-10-23;08;19243;1946;2248;302;20181;16 234;13986;5221;2016;171;36;0;0;3436;23563
2023-10-23;09;19632;2029;2699;670;20160;16 852;14152;5511;1860;1298;-32;0;0;3745;23563
2023-10-23;10;19261;2026;3773;1747;20067;17 397;13624;5568;1470;2298;70;0;0;3780;23563
2023-10-23;11;18243;2026;4410;2384;20059;17 747;13337;5108;552;3489;-202;0;0;3386;23563
2023-10-23;12;17674;2067;5798;3731;19920;18 239;12440;5696;620;4985;-463;0;0;4037;23563
2023-10-23;13;17258;2099;6477;4378;19358;17 887;11410;6496;875;6219;-648;0;0;4817;23563
2023-10-23;14;17675;2113;5544;3431;19351;17 880;12337;6256;967;5464;-918;0;0;4557;23563
2023-10-23;15;17867;2081;5377;3297;19730;18 259;12882;5696;888;4466;-711;0;0;4018;23563
2023-10-23;16;18421;2032;4936;2904;19880;18 409;13474;5134;727;3360;-187;0;0;3456;23563
2023-10-23;17;19223;1983;3964;1982;19968;18 497;14532;4356;528;1752;335;0;0;2669;23563
2023-10-23;18;20322;2000;2603;603;20372;18 901;16298;3538;398;188;486;0;0;1906;23563
2023-10-23;19;21106;2063;1821;-242;20410;18 939;17118;3604;416;0;385;0;0;1898;23563
2023-10-23;20;21128;2066;1920;-146;20383;18 912;16993;3694;380;0;441;0;0;1943;23563
2023-10-23;21;20476;1944;3140;1196;20433;18 962;15822;3651;380;0;1003;0;0;1850;23563
2023-10-23;22;18986;1830;4239;2409;20583;19 112;14873;3521;344;0;592;0;0;1769;23563
2023-10-23;23;17404;1693;4974;3281;20651;18 389;13415;3451;368;0;538;0;0;14494;0
2023-10-23;24;16277;1607;4753;3146;20457;17 194;12441;3502;449;0;334;0;0;13621;0
2023-10-24;01;15523;1535;4076;2541;19137;15 664;11588;3604;514;0;331;0;0;12795;0
2023-10-24;02;15115;1478;4710;3232;19237;15 540;10830;3623;544;0;663;0;0;11766;0
2023-10-24;03;15132;1514;4416;2903;19249;15 552;11136;3664;594;0;332;0;0;11859;0
2023-10-24;04;15255;1545;4255;2710;19266;15 569;11314;3814;726;0;127;0;0;12050;0
2023-10-24;05;15605;1551;4410;2859;19291;15 545;11134;4002;913;0;469;0;0;12185;0
2023-10-24;06;16254;1614;4054;2441;19326;15 544;11490;4258;1116;0;506;0;0;12853;0
2023-10-24;07;18156;1842;3043;1201;20276;16 494;13451;4516;1303;0;189;0;0;16043;0
2023-10-24;08;19758;1984;2523;539;21032;17 250;14727;4870;1554;160;162;0;0;3077;23563
2023-10-24;09;20014;2008;2891;884;20623;16 841;13949;5546;1858;1099;519;0;0;3508;23563
2023-10-24;10;19128;2007;3555;1548;20003;16 221;12666;6349;2170;2346;112;0;0;4324;23563
2023-10-24;11;18180;2052;3320;1268;19416;15 634;12314;6312;1725;3661;-447;0;0;4394;23563
2023-10-24;12;17332;2075;4009;1934;19324;15 542;11533;6601;1380;5269;-803;0;0;4725;23563
2023-10-24;13;16690;2088;4949;2861;19389;15 607;10659;7057;1296;6388;-1025;0;0;5160;23563
