Doba;Godzina;Prognozowane zapotrzebowanie sieci;Wymagana rezerwa mocy OSP;Nadwy¿ka mocy dostêpna dla OSP (7) + (9) - [(3) - (12)] - (13);Nadwy¿ka mocy dostêpna dla OSP ponad wymagan¹ rezerwê moc (5) - (4);Moc dyspozycyjna JW i magazynów energii œwiadcz¹cych us³ugi bilansuj¹ce w ramach RB;Moc dyspozycyjna JW i magazynów energii œwiadcz¹cych us³ugi bilansuj¹ce w ramach RB dostêpna dla OSP;Przewidywana generacja JW i magazynów energii œwiadcz¹cych us³ugi bilansuj¹ce w ramach RB (3) - (9);Prognozowana generacja JW i magazynów energii nie œwiadcz¹cych us³ug bilansuj¹cych w ramach RB;Prognozowana sumaryczna generacja Ÿróde³ wiatrowych;Prognozowana sumaryczna generacja Ÿróde³ fotowoltaicznych;Planowane saldo wymiany miêdzysystemowej;Prognozowana wielkoœæ niedyspozycyjnoœci wynikaj¹ca z ograniczeñ sieciowych wystêpuj¹cych w sieci przesy³owej oraz sieci dystrybucyjnej w zakresie dostarczania energii elektrycznej;Prognozowana wielkoœæ niedyspozycyjnoœci wynikaj¹cych z warunków eksploatacyjnych JW œwiadcz¹cych us³ugi bilansuj¹ce w ramach RB;Przewidywana generacja zasobów wytwórczych nieobjêtych obowi¹zkami mocowymi;Obowi¹zki mocowe wszystkich jednostek rynku mocy
2023-11-23;01;16757;1700;3446;1746;18527;11 015;7569;9596;5826;0;-408;0;0;14387;0
2023-11-23;02;16873;1725;3349;1624;18602;10 885;7536;9914;6125;0;-577;0;0;13791;0
2023-11-23;03;16954;1780;3140;1360;18592;11 092;7952;10056;6260;0;-1053;0;0;13640;0
2023-11-23;04;16998;1704;4133;2429;18569;11 279;7147;10048;6283;0;-197;0;0;12715;0
2023-11-23;05;17380;1772;4474;2702;18569;12 024;7549;10305;6548;0;-475;0;0;13603;0
2023-11-23;06;18272;1907;3713;1807;18805;12 259;8546;10678;6934;0;-951;0;0;15271;0
2023-11-23;07;19784;2023;3387;1364;20107;12 718;9332;10958;7186;0;-505;0;0;17277;0
2023-11-23;08;21414;2205;1669;-536;20825;14 899;11309;11077;7335;42;-972;1921;0;8842;23563
2023-11-23;09;22352;2308;677;-1632;20304;14 599;12002;11432;7569;285;-1082;1921;0;9213;23563
2023-11-23;10;22667;2312;964;-1348;20049;14 693;11871;11598;7698;561;-802;1858;0;9446;23563
2023-11-23;11;22416;2311;1541;-770;19822;14 691;11480;11803;7819;799;-868;1670;0;9619;23563
2023-11-23;12;22578;2288;1914;-373;19782;14 651;11067;11931;7888;973;-420;1670;0;9737;23563
2023-11-23;13;22683;2273;1860;-413;19814;14 683;11153;11724;7865;849;-194;1670;0;9600;23563
2023-11-23;14;22696;2237;1780;-457;19716;14 585;11135;11567;7824;661;-6;1670;0;9475;23563
2023-11-23;15;22614;2220;1370;-850;19455;14 324;11153;11454;7852;330;6;1801;0;9375;23563
2023-11-23;16;22657;2235;1459;-776;19906;14 775;11555;11377;7920;29;-274;1761;0;9309;23563
2023-11-23;17;23192;2290;1223;-1067;20206;14 977;12083;11448;7893;0;-340;1670;0;9228;23563
2023-11-23;18;22982;2267;1251;-1017;20175;14 946;12025;11370;7807;0;-413;1670;0;9143;23563
2023-11-23;19;22593;2236;1770;-466;20309;15 080;11640;11379;7858;0;-425;1670;0;9188;23563
2023-11-23;20;22426;2227;2438;211;20797;15 568;11461;11530;7942;0;-565;1670;0;9315;23563
2023-11-23;21;21816;2165;2783;618;20634;15 405;10952;11484;7897;0;-621;1670;0;9275;23563
2023-11-23;22;20337;2046;2534;488;20718;12 394;9860;11467;7938;0;-990;0;0;9297;23563
2023-11-23;23;18864;1888;3312;1425;20905;11 654;8342;11148;7686;0;-626;0;0;16114;0
2023-11-23;24;17554;1739;4488;2750;20466;11 215;6726;11236;7794;0;-409;0;0;14896;0
2023-11-24;01;17160;1742;3548;1806;18927;10 511;6963;10831;7481;0;-633;0;0;13914;0
2023-11-24;02;17201;1724;3571;1847;18927;10 511;6940;10640;7276;0;-379;0;0;13005;0
2023-11-24;03;16881;1673;4044;2372;18926;10 511;6466;10482;7114;0;-68;0;0;12841;0
2023-11-24;04;16880;1673;5297;3624;18926;11 607;6310;10620;7221;0;-51;0;0;12977;0
2023-11-24;05;17089;1695;6193;4498;18932;12 726;6532;10607;7192;0;-50;0;0;13037;0
2023-11-24;06;17826;1806;5308;3502;18939;12 733;7424;10765;7309;0;-363;0;0;14254;0
2023-11-24;07;19640;2019;3996;1977;19505;13 299;9303;10910;7357;0;-573;0;0;17311;0
2023-11-24;08;21068;2163;2427;264;19541;14 857;10890;10942;7201;311;-765;1539;0;8709;23563
2023-11-24;09;21133;2269;3513;1244;19518;15 799;10568;11689;7128;1857;-1125;1718;0;9358;23563
2023-11-24;10;21641;2331;3883;1552;19484;16 892;11334;11569;6958;2072;-1262;1675;0;9284;23563
2023-11-24;11;21288;2301;4227;1926;19468;17 086;11003;11390;6736;2292;-1105;1857;0;9153;23563
2023-11-24;12;21262;2263;4269;2006;19463;17 081;10955;10896;6130;2620;-589;1857;0;8679;23563
2023-11-24;13;21324;2209;4090;1880;19245;16 961;11014;10199;5432;2585;110;1857;0;7973;23563
2023-11-24;14;21653;2225;2881;656;19060;16 776;12038;9678;5146;2026;-64;1857;0;7441;23563
2023-11-24;15;21671;2184;2704;520;19132;16 067;12622;8936;4766;1235;113;741;0;6721;23563
2023-11-24;16;22121;2158;2517;359;19700;16 635;13377;8330;4622;233;414;741;0;6126;23563
2023-11-24;17;23006;2265;2216;-49;20588;17 316;14566;8441;4733;0;-1;534;0;6257;23563
2023-11-24;18;22589;2163;3060;897;20651;17 379;13716;8277;4465;0;597;604;0;5936;23563
2023-11-24;19;22199;2128;3033;906;20595;17 113;13545;8011;4232;0;642;534;0;5684;23563
2023-11-24;20;22062;2096;2512;416;20675;16 983;13938;7299;3555;0;825;534;0;4861;23563
2023-11-24;21;21474;1996;2504;508;20596;16 484;13446;6704;2967;0;1323;534;0;4272;23563
2023-11-24;22;20120;1879;3652;1773;20448;15 586;11934;7167;3445;0;1019;0;0;4757;23563
2023-11-24;23;18660;1804;4073;2269;20744;15 090;11016;7230;3556;0;413;0;0;15434;0
2023-11-24;24;17315;1618;5900;4282;20711;15 057;9157;7084;3417;0;1073;0;0;13451;0
2023-11-25;01;16153;1701;3491;1790;18882;13 316;9825;7227;3619;0;-900;0;0;14180;0
2023-11-25;02;15983;1690;3580;1890;18916;13 130;9551;7381;3772;0;-949;0;0;13750;0
2023-11-25;03;16357;1720;3562;1842;19151;13 365;9804;7393;3783;0;-839;0;0;13058;0
2023-11-25;04;16424;1713;4070;2357;19151;13 365;9295;7918;4374;0;-790;0;0;13441;0
2023-11-25;05;16218;1692;4412;2720;19151;13 365;8953;7962;4435;0;-696;0;0;13253;0
2023-11-25;06;16224;1742;4022;2279;19151;13 365;9344;8099;4506;0;-1219;0;0;13993;0
2023-11-25;07;16469;1771;4119;2348;19359;14 265;9786;7820;4140;0;-1137;360;0;14787;0
2023-11-25;08;17259;1868;3217;1349;19445;15 513;10774;7834;4106;68;-1348;1522;0;15863;0
2023-11-25;09;18215;1976;3161;1185;19573;15 641;10958;8163;3905;1093;-906;1522;0;16525;0
2023-11-25;10;19336;2009;2577;568;19543;15 611;11512;7963;3674;1345;-139;1522;0;16719;0
2023-11-25;11;19809;2032;1970;-62;19703;15 560;12196;7672;3545;1116;-59;1394;0;16763;0
2023-11-25;12;20057;2053;2020;-33;20019;15 876;12435;7681;3588;1072;-58;1422;0;17162;0
2023-11-25;13;20285;2046;1832;-214;20176;16 033;12779;7382;3430;835;124;1422;0;17075;0
2023-11-25;14;20013;1965;1819;-146;19838;15 695;12455;7068;3210;632;490;1422;0;16285;0
2023-11-25;15;19357;1851;2275;423;19306;15 163;11467;6871;3067;413;1019;1422;0;15248;0
2023-11-25;16;19703;1840;2442;601;19326;14 406;11319;6894;3225;47;1490;645;0;15611;0
2023-11-25;17;20216;1902;1982;81;19564;14 644;12044;6948;3195;0;1224;617;0;16139;0
2023-11-25;18;20079;1987;1546;-441;20360;15 440;13359;6583;2777;0;136;534;0;16705;0
2023-11-25;19;19779;1987;1687;-299;20759;15 635;13414;6527;2757;0;-162;534;0;17163;0
2023-11-25;20;19446;1948;2089;141;20803;15 679;13057;6491;2763;0;-101;534;0;16828;0
2023-11-25;21;18776;1901;2509;608;20950;15 826;12784;6284;2568;0;-291;534;0;16171;0
2023-11-25;22;17914;1855;3044;1189;21002;15 344;12300;6343;2644;0;-729;0;0;15740;0
2023-11-25;23;16802;1774;3651;1876;21167;15 161;11511;6315;2631;0;-1024;0;0;14894;0
2023-11-25;24;15589;1702;4230;2528;21002;14 996;10766;6336;2653;0;-1512;0;0;14038;0
2023-11-26;01;14883;1719;2863;1144;19794;13 788;10925;6273;2682;0;-2314;0;0;14112;0
2023-11-26;02;14616;1604;3835;2231;19283;13 488;9652;6317;2727;0;-1354;0;0;12729;0
2023-11-26;03;14719;1553;4347;2794;19278;13 483;9136;6209;2624;0;-626;0;0;11447;0
2023-11-26;04;14621;1533;4844;3311;19246;13 451;8607;6483;2904;0;-469;0;0;11708;0
2023-11-26;05;14462;1558;4919;3361;19245;13 667;8748;6591;3016;0;-877;0;0;11881;0
2023-11-26;06;14693;1568;4861;3293;19304;13 726;8865;6574;2999;0;-745;0;0;11855;0
2023-11-26;07;14456;1612;5947;4335;20382;14 804;8857;7049;3462;0;-1450;0;0;13039;0
2023-11-26;08;14624;1790;4495;2705;20609;15 749;10150;7589;3818;147;-3115;1104;0;15271;0
2023-11-26;09;15025;1942;3966;2024;20628;15 726;10656;8136;3867;1298;-3767;1104;0;15951;0
2023-11-26;10;16497;2042;2370;328;20738;15 836;12362;7498;3267;1205;-3364;1104;0;16386;0
2023-11-26;11;17032;2066;1850;-216;20906;16 211;13049;7160;2956;1178;-3177;1311;0;17107;0
2023-11-26;12;16843;2056;2487;431;20684;16 423;12625;7328;2957;1723;-3110;1311;0;16752;0
2023-11-26;13;16768;2055;2524;469;20607;16 346;12511;7362;2980;1730;-3105;1311;0;16727;0
2023-11-26;14;17148;2018;2927;909;20724;16 463;12225;7556;3315;1404;-2634;1311;0;16884;0
2023-11-26;15;17402;2021;2240;219;20674;16 413;12862;7067;3113;834;-2526;1311;0;17013;0
2023-11-26;16;17876;1959;6919;4960;20424;20 424;12831;6756;3060;65;-1711;674;0;16801;0
2023-11-26;17;18451;2036;6810;4774;21006;21 006;13522;6927;3206;0;-1997;674;0;17553;0
2023-11-26;18;18504;2112;6619;4507;21557;21 557;14264;7061;3192;0;-2822;674;0;18208;0
2023-11-26;19;18572;2130;6295;4164;21569;21 569;14601;6890;3000;0;-2920;674;0;18200;0
2023-11-26;20;18525;2101;6495;4394;21700;21 700;14531;6656;2798;0;-2662;674;0;17962;0
2023-11-26;21;18070;1979;7492;5513;21921;21 921;13673;6323;2517;0;-1926;757;0;16626;0
2023-11-26;22;17358;1890;9304;7414;22087;22 087;12700;6203;2417;0;-1545;83;0;15979;0
2023-11-26;23;16272;1871;9432;7561;22223;22 223;12791;6017;2237;0;-2536;0;0;15806;0
2023-11-26;24;15334;1830;9362;7532;21962;21 962;12600;5742;1993;0;-3008;0;0;15309;0
2023-11-27;01;15080;1820;5428;3608;20763;18 207;12778;5327;1565;0;-3025;0;0;15169;0
2023-11-27;02;14845;1781;5445;3664;20554;18 205;12760;5059;1350;0;-2975;0;0;14697;0
2023-11-27;03;14895;1796;5468;3672;20721;18 372;12904;5027;1317;0;-3036;0;0;14744;0
2023-11-27;04;15393;1686;6023;4336;20312;17 963;11940;4843;1174;0;-1390;0;0;13025;0
2023-11-27;05;15637;1706;5795;4089;20310;17 961;12166;4657;972;0;-1185;0;0;12993;0
2023-11-27;06;16682;1810;4857;3047;20309;17 960;13104;4610;880;0;-1031;0;0;14184;0
2023-11-27;07;19180;1932;4513;2581;20766;18 634;14121;4645;840;0;415;0;0;16336;0
2023-11-27;08;21359;2072;3583;1510;20937;19 441;15858;4543;718;75;958;0;0;2218;23563
2023-11-27;09;22313;2214;3518;1303;21410;20 348;16830;4782;623;672;700;0;0;2460;23563
2023-11-27;10;22850;2241;3059;818;21428;20 366;17307;4615;436;943;928;0;0;2366;23563
2023-11-27;11;21978;2201;3901;1700;21057;19 995;16095;4897;340;1862;986;0;0;2632;23563
2023-11-27;12;21971;2201;4057;1856;20909;19 847;15790;5011;341;2224;1170;0;0;2786;23563
2023-11-27;13;22159;2177;3812;1635;20578;19 516;15704;4913;317;2081;1542;0;0;2696;23563
2023-11-27;14;22250;2178;3648;1470;20621;19 559;15911;4875;326;1939;1464;0;0;2697;23563
2023-11-27;15;22817;2171;2752;581;20616;19 554;16802;4423;369;840;1591;0;0;2305;23563
2023-11-27;16;23214;2210;2407;198;21298;20 236;17828;4194;470;76;1192;0;0;2123;23563
2023-11-27;17;23786;2325;1738;-587;21588;20 526;18788;4496;674;0;503;0;0;2343;23563
2023-11-27;18;23697;2259;2056;-203;21257;20 195;18139;4568;738;0;990;0;0;2383;23563
2023-11-27;19;23059;2200;2917;716;21439;20 377;17460;4526;696;0;1074;0;0;2278;23563
2023-11-27;20;23059;2187;3044;857;21496;20 434;17389;4502;747;0;1168;0;0;2322;23563
2023-11-27;21;22423;2094;3378;1284;21518;19 898;16520;4477;740;0;1426;0;0;2191;23563
2023-11-27;22;20862;1963;4628;2666;21615;19 869;15241;4488;780;0;1133;0;0;2226;23563
2023-11-27;23;19413;1841;6121;4280;21636;19 890;13769;4545;893;0;1099;0;0;15435;0
2023-11-27;24;18145;1725;7053;5329;21257;19 511;12458;4682;1053;0;1005;0;0;14326;0
2023-11-28;01;17378;1641;6426;4786;19836;17 792;11366;4840;1194;0;1173;0;0;12701;0
2023-11-28;02;16960;1679;6251;4572;19836;17 792;11541;4969;1284;0;450;0;0;13000;0
2023-11-28;03;16926;1714;5846;4132;19836;17 792;11946;5029;1332;0;-49;0;0;13340;0
2023-11-28;04;16962;1724;5831;4107;19841;17 797;11966;5045;1331;0;-49;0;0;13438;0
2023-11-28;05;17303;1747;5589;3842;19869;17 825;12236;4951;1232;0;116;0;0;13549;0
2023-11-28;06;17914;1729;5933;4204;19939;17 895;11962;4847;1129;0;1105;0;0;13748;0
2023-11-28;07;20048;1972;3628;1656;20372;18 118;14370;4837;1076;0;841;119;0;16648;0
2023-11-28;08;21872;2108;1988;-121;20582;18 542;16114;4714;987;13;1043;440;0;2654;23563
2023-11-28;09;22673;2181;2110;-70;20838;19 008;16457;4989;1084;443;1228;440;0;2929;23563
2023-11-28;10;23173;2213;2439;226;20805;19 394;16514;5069;965;850;1591;440;0;3021;23563
