Time,Prognozowane zapotrzebowanie sieci,generacjaJW,zrodla_odnawialne,Niedyspozycyjnosc,saldo,month,day_of_week,hour,da1_price
2022-11-22 00:00:00+00:00,18031.0,17560.0,346.0,0.0,471.0,11,1,1,870.0
2022-11-22 01:00:00+00:00,16573.0,16327.0,322.0,0.0,247.0,11,1,2,830.0
2022-11-22 02:00:00+00:00,16852.0,16541.0,395.0,0.0,312.0,11,1,3,800.0
2022-11-22 03:00:00+00:00,16802.0,16546.0,452.0,0.0,256.0,11,1,4,789.0
2022-11-22 04:00:00+00:00,16837.0,16421.0,635.0,0.0,416.0,11,1,5,820.0
2022-11-22 05:00:00+00:00,17371.0,16909.0,683.0,0.0,463.0,11,1,6,870.0
2022-11-22 06:00:00+00:00,18063.0,17872.0,764.0,0.0,192.0,11,1,7,949.64
2022-11-22 07:00:00+00:00,19905.0,19806.0,834.0,0.0,98.0,11,1,8,998.0
2022-11-22 08:00:00+00:00,21707.0,21813.0,1063.0,0.0,-106.0,11,1,9,1034.79
2022-11-22 09:00:00+00:00,22271.0,22374.0,1603.0,0.0,-103.0,11,1,10,990.0
2022-11-22 10:00:00+00:00,22302.0,22412.0,2080.0,0.0,-110.0,11,1,11,961.8
2022-11-22 11:00:00+00:00,21988.0,22101.0,2415.0,0.0,-113.0,11,1,12,969.03
2022-11-22 12:00:00+00:00,22015.0,22129.0,2950.0,0.0,-114.0,11,1,13,980.0
2022-11-22 13:00:00+00:00,22074.0,22183.0,2925.0,0.0,-109.0,11,1,14,996.52
2022-11-22 14:00:00+00:00,22344.0,22454.0,2558.0,0.0,-110.0,11,1,15,1004.99
2022-11-22 15:00:00+00:00,22302.0,22408.0,2167.0,0.0,-106.0,11,1,16,1050.0
2022-11-22 16:00:00+00:00,22666.0,22779.0,2078.0,0.0,-113.0,11,1,17,1075.0
2022-11-22 17:00:00+00:00,23310.0,23426.0,2220.0,0.0,-116.0,11,1,18,1027.9
2022-11-22 18:00:00+00:00,23268.0,23379.0,2365.0,0.0,-111.0,11,1,19,969.03
2022-11-22 19:00:00+00:00,22821.0,22929.0,2413.0,0.0,-109.0,11,1,20,955.5
