Time,Prognozowane zapotrzebowanie sieci,Przewidywana generacja JW i magazynów energii wiadcz¹cych us³ugi bilansuj¹ce w ramach RB (3) - (9),Prognozowana generacja JW i magazynów energii nie wiadcz¹cych us³ug bilansuj¹cych w ramach RB,Prognozowana sumaryczna generacja róde³ wiatrowych,Prognozowana sumaryczna generacja róde³ fotowoltaicznych,Planowane saldo wymiany miêdzysystemowej,Prognozowana wielkoæ niedyspozycyjnoci wynikaj¹ca z ograniczeñ sieciowych wystêpuj¹cych w sieci przesy³owej oraz sieci dystrybucyjnej w zakresie dostarczania energii elektrycznej,Prognozowana wielkoæ niedyspozycyjnoci wynikaj¹cych z warunków eksploatacyjnych JW wiadcz¹cych us³ugi bilansuj¹ce w ramach RB,da1_price,day_of_week,month,hour
2022-11-22 00:00:00+00:00,18031,13578,3982,346,0,471,0,0.0,870.0,1,11,0
2022-11-22 01:00:00+00:00,16573,12444,3883,322,0,247,0,0.0,830.0,1,11,1
2022-11-22 02:00:00+00:00,16852,12603,3938,395,0,312,0,0.0,800.0,1,11,2
2022-11-22 03:00:00+00:00,16802,12550,3996,452,0,256,0,0.0,789.0,1,11,3
2022-11-22 04:00:00+00:00,16837,12241,4180,635,0,416,0,0.0,820.0,1,11,4
2022-11-22 05:00:00+00:00,17371,12679,4230,683,0,463,0,0.0,870.0,1,11,5
2022-11-22 06:00:00+00:00,18063,13555,4317,764,0,192,0,0.0,949.64,1,11,6
2022-11-22 07:00:00+00:00,19905,15293,4513,834,0,98,0,0.0,998.0,1,11,7
2022-11-22 08:00:00+00:00,21707,17084,4729,957,106,-106,0,0.0,1034.79,1,11,8
2022-11-22 09:00:00+00:00,22271,17347,5027,997,606,-103,0,0.0,990.0,1,11,9
2022-11-22 10:00:00+00:00,22302,17184,5228,1002,1078,-110,0,0.0,961.8,1,11,10
2022-11-22 11:00:00+00:00,21988,16768,5333,1076,1339,-113,0,0.0,969.03,1,11,11
2022-11-22 12:00:00+00:00,22015,16387,5742,1409,1541,-114,0,0.0,980.0,1,11,12
2022-11-22 13:00:00+00:00,22074,16292,5891,1533,1392,-109,0,0.0,996.52,1,11,13
2022-11-22 14:00:00+00:00,22344,16671,5783,1610,948,-110,0,0.0,1004.99,1,11,14
2022-11-22 15:00:00+00:00,22302,16688,5720,1737,430,-106,0,0.0,1050.0,1,11,15
2022-11-22 16:00:00+00:00,22666,16923,5856,2027,51,-113,0,0.0,1075.0,1,11,16
2022-11-22 17:00:00+00:00,23310,17382,6044,2220,0,-116,0,0.0,1027.9,1,11,17
2022-11-22 18:00:00+00:00,23268,17180,6199,2365,0,-111,0,0.0,969.03,1,11,18
2022-11-22 19:00:00+00:00,22821,16662,6267,2413,0,-109,0,0.0,955.5,1,11,19
2022-11-22 20:00:00+00:00,22228,16150,6187,2340,0,-109,0,0.0,944.39,1,11,20
2022-11-22 21:00:00+00:00,21772,15963,5914,2083,0,-105,0,0.0,850.0,1,11,21
2022-11-22 22:00:00+00:00,20526,15002,5622,1830,0,-99,0,0.0,848.89,1,11,22
2022-11-22 23:00:00+00:00,19055,14040,5336,1700,0,-322,0,0.0,755.0,1,11,23
2022-11-23 00:00:00+00:00,17915,12633,5211,1646,0,70,0,0.0,790.0,2,11,0
2022-11-23 01:00:00+00:00,16805,11220,5203,1644,0,382,0,0.0,763.39,2,11,1
2022-11-23 02:00:00+00:00,16383,11420,5056,1548,0,-93,0,0.0,750.0,2,11,2
2022-11-23 03:00:00+00:00,16455,11646,4902,1395,0,-93,0,0.0,750.0,2,11,3
2022-11-23 04:00:00+00:00,16485,11779,4797,1289,0,-91,0,0.0,759.0,2,11,4
2022-11-23 05:00:00+00:00,16858,11928,4656,1141,0,273,0,0.0,820.0,2,11,5
2022-11-23 06:00:00+00:00,17791,12461,4540,1025,0,791,0,0.0,952.0,2,11,6
2022-11-23 07:00:00+00:00,19739,15137,4707,1081,0,-106,0,0.0,1050.0,2,11,7
2022-11-23 08:00:00+00:00,21638,16903,4839,1034,37,-105,0,0.0,1139.0,2,11,8
2022-11-23 09:00:00+00:00,22400,17607,4896,951,312,-103,0,0.0,1213.29,2,11,9
2022-11-23 10:00:00+00:00,22750,18106,4753,749,444,-109,0,0.0,1120.0,2,11,10
2022-11-23 11:00:00+00:00,22458,17767,4803,717,718,-112,0,0.0,1205.8,2,11,11
2022-11-23 12:00:00+00:00,22588,17921,4780,639,841,-112,0,0.0,1331.2,2,11,12
2022-11-23 13:00:00+00:00,22845,18097,4640,522,764,108,0,0.0,1269.7,2,11,13
2022-11-23 14:00:00+00:00,22929,18311,4503,458,598,116,0,0.0,1250.1,2,11,14
2022-11-23 15:00:00+00:00,22762,18199,4380,457,343,182,0,0.0,1266.29,2,11,15
2022-11-23 16:00:00+00:00,23043,18857,4116,538,38,69,0,0.0,1200.0,2,11,16
2022-11-23 17:00:00+00:00,23530,19262,4383,653,0,-115,0,0.0,1188.71,2,11,17
2022-11-23 18:00:00+00:00,23319,19048,4381,729,0,-110,0,0.0,1150.0,2,11,18
2022-11-23 19:00:00+00:00,22824,18626,4306,701,0,-108,0,0.0,1050.0,2,11,19
2022-11-23 20:00:00+00:00,22637,18443,4301,712,0,-107,0,0.0,973.44,2,11,20
2022-11-23 21:00:00+00:00,22013,17931,4184,577,0,-102,0,0.0,900.0,2,11,21
2022-11-23 22:00:00+00:00,20730,16798,4028,492,0,-97,0,0.0,900.0,2,11,22
